"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.024799","0.031184","0.032718","0.023363","-","-20.48%"
"Jun 30, 2021","0.031184","0.025466","0.031601","0.024191","-","22.45%"
"Jun 29, 2021","0.025466","0.023440","0.026555","0.023288","-","8.64%"
"Jun 28, 2021","0.023440","0.023050","0.024134","0.022352","-","1.69%"
"Jun 27, 2021","0.023050","0.021592","0.023111","0.021291","-","6.75%"
"Jun 26, 2021","0.021592","0.021189","0.021831","0.019789","-","1.90%"
"Jun 25, 2021","0.021189","0.024602","0.024869","0.020990","-","-13.87%"
"Jun 24, 2021","0.024602","0.023569","0.025228","0.022042","-","4.38%"
"Jun 23, 2021","0.023569","0.021470","0.025260","0.020927","-","9.77%"
"Jun 22, 2021","0.021470","0.022272","0.025049","0.017444","-","-3.60%"
"Jun 21, 2021","0.022272","0.029086","0.029296","0.022201","-","-23.43%"
"Jun 20, 2021","0.029086","0.028867","0.029622","0.026087","-","0.76%"
"Jun 19, 2021","0.028867","0.028423","0.030105","0.027923","-","1.56%"
"Jun 18, 2021","0.028423","0.030810","0.031226","0.027807","-","-7.75%"
"Jun 17, 2021","0.030810","0.031058","0.031915","0.030337","-","-0.80%"
"Jun 16, 2021","0.031058","0.033320","0.033468","0.030805","-","-6.79%"
"Jun 15, 2021","0.033320","0.032415","0.033773","0.031548","-","2.79%"
"Jun 14, 2021","0.032415","0.031848","0.033961","0.031032","-","1.78%"
"Jun 13, 2021","0.031848","0.028785","0.032258","0.028108","-","10.64%"
"Jun 12, 2021","0.028785","0.029851","0.030527","0.027490","-","-3.57%"
"Jun 11, 2021","0.029851","0.030781","0.031367","0.029293","-","-3.02%"
"Jun 10, 2021","0.030781","0.032836","0.033601","0.029022","-","-6.26%"
"Jun 09, 2021","0.032836","0.029451","0.034688","0.027384","-","11.49%"
"Jun 08, 2021","0.029451","0.029560","0.031097","0.023007","-","-0.37%"
"Jun 07, 2021","0.029560","0.033656","0.035544","0.029058","-","-12.17%"
"Jun 06, 2021","0.033656","0.031994","0.034050","0.031983","-","5.19%"
"Jun 05, 2021","0.031994","0.032228","0.035094","0.030088","-","-0.73%"
"Jun 04, 2021","0.032228","0.037407","0.037603","0.028920","-","-13.84%"
"Jun 03, 2021","0.037407","0.031567","0.038521","0.031005","-","18.50%"
"Jun 02, 2021","0.031567","0.031525","0.032812","0.030576","-","0.13%"
"Jun 01, 2021","0.031525","0.032637","0.034267","0.030054","-","-3.41%"
"May 31, 2021","0.032637","0.030260","0.033882","0.028403","-","7.86%"
"May 30, 2021","0.030260","0.027144","0.032276","0.025427","-","11.48%"
"May 29, 2021","0.027144","0.028184","0.030892","0.025415","-","-3.69%"
"May 28, 2021","0.028184","0.035536","0.035742","0.027123","-","-20.69%"
"May 27, 2021","0.035536","0.038310","0.038725","0.033835","-","-7.24%"
"May 26, 2021","0.038310","0.036688","0.039782","0.034570","-","4.42%"
"May 25, 2021","0.036688","0.030778","0.037645","0.025945","-","19.20%"
"May 24, 2021","0.030778","0.024140","0.032143","0.020964","-","27.50%"
"May 23, 2021","0.024140","0.027611","0.028758","0.017083","-","-12.57%"
"May 22, 2021","0.027611","0.031553","0.031553","0.025485","-","-12.49%"
"May 21, 2021","0.031553","0.036356","0.040008","0.023569","-","-13.21%"
"May 20, 2021","0.036356","0.026393","0.037705","0.023231","-","37.75%"
"May 19, 2021","0.026393","0.042060","0.043043","0.010494","-","-37.25%"
"May 18, 2021","0.042060","0.037239","0.048130","0.037150","-","12.95%"
"May 17, 2021","0.037239","0.040289","0.041995","0.035910","-","-7.57%"
"May 16, 2021","0.040289","0.035815","0.042942","0.035798","-","12.49%"
"May 15, 2021","0.035815","0.042208","0.043934","0.035411","-","-15.15%"
"May 14, 2021","0.042208","0.036816","0.048731","0.036495","-","14.65%"
"May 13, 2021","0.036816","0.039063","0.046741","0.028900","-","-5.75%"
"May 12, 2021","0.039063","0.055303","0.055968","0.038400","-","-29.37%"
"May 11, 2021","0.055303","0.059777","0.065181","0.048592","-","-7.48%"
"May 10, 2021","0.059777","0.052448","0.060325","0.046429","-","13.97%"
"May 09, 2021","0.052448","0.037037","0.052448","0.036994","-","41.61%"
"May 08, 2021","0.037037","0.037866","0.038846","0.031783","-","-2.19%"
"May 07, 2021","0.037866","0.040937","0.044678","0.035053","-","-7.50%"
"May 06, 2021","0.040937","0.028161","0.049087","0.027841","-","45.37%"
"May 05, 2021","0.028161","0.017581","0.028604","0.017581","-","59.83%"
"May 04, 2021","0.017619","0.017704","0.019652","0.016066","-","-0.48%"
"May 03, 2021","0.017704","0.012450","0.019733","0.012450","-","42.20%"
"May 02, 2021","0.012450","0.010976","0.012586","0.010692","-","13.43%"
"May 01, 2021","0.010976","0.009804","0.013241","0.008656","-","11.96%"
"Apr 30, 2021","0.009804","0.006963","0.010393","0.006915","-","40.80%"
"Apr 29, 2021","0.006963","0.007127","0.007215","0.006536","-","-2.30%"
"Apr 28, 2021","0.007127","0.007155","0.007328","0.006472","-","-0.33%"
"Apr 27, 2021","0.007151","0.006494","0.007731","0.005904","-","10.18%"
"Apr 26, 2021","0.006490","0.005397","0.006720","0.005376","-","20.24%"
"Apr 25, 2021","0.005397","0.005517","0.006073","0.005186","-","-2.16%"
"Apr 24, 2021","0.005517","0.006132","0.006144","0.005376","-","-10.03%"
"Apr 23, 2021","0.006132","0.006732","0.006774","0.004339","-","-8.92%"
"Apr 22, 2021","0.006732","0.007001","0.007214","0.006592","-","-3.83%"
"Apr 21, 2021","0.007001","0.007340","0.007791","0.006978","-","-4.63%"
"Apr 20, 2021","0.007340","0.006956","0.007420","0.006448","-","5.53%"
"Apr 19, 2021","0.006956","0.007299","0.008051","0.006608","-","-4.70%"
"Apr 18, 2021","0.007299","0.007794","0.008357","0.006359","-","-6.34%"
"Apr 17, 2021","0.007794","0.007975","0.008723","0.007440","-","-2.28%"
"Apr 16, 2021","0.007975","0.006958","0.008685","0.006603","-","14.63%"
"Apr 15, 2021","0.006958","0.006923","0.007605","0.006845","-","0.51%"
"Apr 14, 2021","0.006923","0.007614","0.007972","0.006773","-","-9.08%"
"Apr 13, 2021","0.007614","0.007186","0.007624","0.006862","-","5.96%"
