"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","1.0002","1.0004","1.0007","0.9998","152.87M","-0.01%"
"Jun 30, 2021","1.0003","1.0002","1.0005","1.0000","273.01M","0.01%"
"Jun 29, 2021","1.0002","1.0004","1.0008","1.0002","225.81M","-0.01%"
"Jun 28, 2021","1.0004","1.0006","1.0011","1.0003","213.35M","-0.03%"
"Jun 27, 2021","1.0006","1.0012","1.0041","1.0004","529.30M","-0.06%"
"Jun 26, 2021","1.0012","0.9998","1.0018","0.9994","439.95M","0.14%"
"Jun 25, 2021","0.9998","1.0002","1.0004","0.9978","829.33M","-0.02%"
"Jun 24, 2021","1.0000","1.0005","1.0010","0.9999","224.73M","-0.05%"
"Jun 23, 2021","1.0005","1.0012","1.0021","1.0002","312.93M","-0.07%"
"Jun 22, 2021","1.0012","1.0017","1.0035","1.0011","687.52M","-0.05%"
"Jun 21, 2021","1.0017","1.0015","1.0030","1.0005","473.42M","0.07%"
"Jun 20, 2021","1.0010","1.0013","1.0019","1.0009","265.76M","-0.03%"
"Jun 19, 2021","1.0013","1.0006","1.0017","1.0006","177.55M","0.06%"
"Jun 18, 2021","1.0006","1.0000","1.0008","1.0000","225.08M","0.06%"
"Jun 17, 2021","1.0000","0.9998","1.0001","0.9996","134.45M","0.02%"
"Jun 16, 2021","0.9998","0.9999","1.0001","0.9995","185.57M","-0.02%"
"Jun 15, 2021","1.0000","1.0002","1.0002","0.9994","196.44M","-0.01%"
"Jun 14, 2021","1.0001","0.9999","1.0003","0.9994","281.70M","0.02%"
"Jun 13, 2021","0.9999","1.0003","1.0007","0.9998","143.73M","-0.04%"
"Jun 12, 2021","1.0003","1.0000","1.0008","1.0000","136.44M","0.03%"
"Jun 11, 2021","1.0000","1.0003","1.0004","0.9999","160.30M","-0.02%"
"Jun 10, 2021","1.0003","1.0000","1.0005","0.9995","213.46M","0.02%"
"Jun 09, 2021","1.0001","1.0008","1.0015","0.9996","439.82M","-0.07%"
"Jun 08, 2021","1.0008","1.0003","1.0011","1.0001","250.49M","0.05%"
"Jun 07, 2021","1.0003","1.0000","1.0005","0.9989","269.99M","0.03%"
"Jun 06, 2021","1.0000","1.0005","1.0008","0.9999","123.68M","-0.05%"
"Jun 05, 2021","1.0005","1.0005","1.0007","1.0001","145.88M","0.00%"
"Jun 04, 2021","1.0005","1.0001","1.0008","0.9998","219.88M","0.04%"
"Jun 03, 2021","1.0001","1.0001","1.0006","0.9999","217.93M","0.00%"
"Jun 02, 2021","1.0001","0.9998","1.0004","0.9998","235.14M","0.02%"
"Jun 01, 2021","0.9998","1.0002","1.0003","0.9998","241.08M","-0.03%"
"May 31, 2021","1.0001","0.9992","1.0006","0.9992","286.91M","0.05%"
"May 30, 2021","0.9997","1.0000","1.0001","0.9980","406.43M","-0.03%"
"May 29, 2021","1.0000","1.0003","1.0011","0.9995","246.99M","-0.03%"
"May 28, 2021","1.0003","1.0007","1.0010","0.9999","419.55M","-0.04%"
"May 27, 2021","1.0007","1.0014","1.0018","1.0006","279.93M","-0.07%"
"May 26, 2021","1.0014","1.0011","1.0018","1.0011","309.14M","0.03%"
"May 25, 2021","1.0011","1.0010","1.0020","1.0005","332.79M","0.01%"
"May 24, 2021","1.0009","1.0017","1.0028","1.0008","435.56M","-0.08%"
"May 23, 2021","1.0017","1.0021","1.0045","1.0014","552.32M","-0.04%"
"May 22, 2021","1.0021","1.0023","1.0045","1.0008","286.54M","-0.01%"
"May 21, 2021","1.0022","1.0019","1.0027","1.0011","558.09M","0.03%"
"May 20, 2021","1.0019","1.0017","1.0026","1.0009","673.00M","0.02%"
"May 19, 2021","1.0017","1.0007","1.0057","1.0001","1.07B","0.10%"
"May 18, 2021","1.0007","1.0000","1.0015","0.9986","425.31M","0.07%"
"May 17, 2021","1.0000","1.0019","1.0050","0.9987","791.47M","-0.19%"
"May 16, 2021","1.0019","1.0010","1.0025","1.0005","305.28M","0.09%"
"May 15, 2021","1.0010","1.0010","1.0017","1.0007","210.54M","0.00%"
"May 14, 2021","1.0010","1.0006","1.0020","1.0006","410.36M","0.04%"
"May 13, 2021","1.0006","1.0007","1.0030","1.0002","642.52M","-0.01%"
"May 12, 2021","1.0007","1.0009","1.0025","1.0001","507.65M","-0.02%"
"May 11, 2021","1.0009","1.0007","1.0013","0.9992","435.14M","0.01%"
"May 10, 2021","1.0008","1.0008","1.0029","1.0002","490.05M","-0.01%"
"May 09, 2021","1.0008","1.0009","1.0010","0.9993","324.52M","-0.01%"
"May 08, 2021","1.0009","1.0007","1.0014","1.0000","265.97M","0.01%"
"May 07, 2021","1.0008","1.0004","1.0014","1.0000","308.85M","0.02%"
"May 06, 2021","1.0006","1.0009","1.0017","1.0001","465.71M","-0.03%"
"May 05, 2021","1.0009","1.0006","1.0010","0.9997","434.88M","0.03%"
"May 04, 2021","1.0006","1.0004","1.0007","1.0001","382.83M","0.04%"
"May 03, 2021","1.0002","1.0003","1.0009","0.9995","267.65M","-0.02%"
"May 02, 2021","1.0004","1.0003","1.0005","0.9992","122.67M","0.01%"
"May 01, 2021","1.0002","1.0002","1.0004","0.9985","202.60M","0.01%"
"Apr 30, 2021","1.0002","1.0003","1.0009","0.9999","256.57M","-0.02%"
"Apr 29, 2021","1.0003","1.0007","1.0011","1.0001","236.02M","-0.04%"
"Apr 28, 2021","1.0007","1.0002","1.0018","0.9997","216.65M","0.00%"
"Apr 27, 2021","1.0007","1.0014","1.0017","1.0003","230.73M","-0.02%"
"Apr 26, 2021","1.0009","1.0011","1.0025","1.0007","253.53M","-0.02%"
"Apr 25, 2021","1.0012","1.0023","1.0023","1.0010","159.11M","-0.06%"
"Apr 24, 2021","1.0018","1.0006","1.0024","1.0005","150.26M","0.10%"
"Apr 23, 2021","1.0008","1.0004","1.0016","0.9998","507.06M","0.05%"
"Apr 22, 2021","1.0004","1.0002","1.0010","0.9995","386.37M","0.02%"
"Apr 21, 2021","1.0002","1.0004","1.0007","0.9999","266.37M","-0.06%"
"Apr 20, 2021","1.0008","1.0007","1.0019","1.0000","390.71M","0.01%"
"Apr 19, 2021","1.0007","1.0004","1.0014","1.0000","416.56M","-0.04%"
"Apr 18, 2021","1.0011","0.9994","1.0033","0.9975","586.16M","0.10%"
"Apr 17, 2021","1.0001","1.0000","1.0007","0.9990","250.93M","-0.07%"
"Apr 16, 2021","1.0008","1.0010","1.0018","0.9998","525.47M","-0.01%"
"Apr 15, 2021","1.0009","0.9993","1.0016","0.9987","252.16M","0.11%"
"Apr 14, 2021","0.9998","0.9992","1.0009","0.9992","351.03M","0.01%"
"Apr 13, 2021","0.9997","1.0000","1.0006","0.9981","319.54M","-0.03%"
"Apr 12, 2021","1.0000","1.0002","1.0007","0.9995","324.87M","-0.02%"
"Apr 11, 2021","1.0002","1.0002","1.0006","0.9996","122.84M","0.00%"
"Apr 10, 2021","1.0001","0.9999","1.0008","0.9997","227.66M","0.03%"
"Apr 09, 2021","0.9998","0.9999","1.0008","0.9995","210.47M","-0.02%"
"Apr 08, 2021","1.0000","1.0000","1.0007","0.9995","236.09M","0.01%"
"Apr 07, 2021","0.9999","1.0001","1.0003","0.9985","351.88M","-0.02%"
"Apr 06, 2021","1.0001","1.0001","1.0005","0.9952","287.66M","0.00%"
"Apr 05, 2021","1.0001","1.0004","1.0007","0.9994","206.84M","-0.01%"
"Apr 04, 2021","1.0003","0.9996","1.0008","0.9992","95.24M","0.07%"
"Apr 03, 2021","0.9996","0.9996","1.0006","0.9991","126.37M","-0.02%"
"Apr 02, 2021","0.9998","0.9998","1.0003","0.9995","205.50M","0.00%"
"Apr 01, 2021","0.9998","1.0003","1.0003","0.9993","233.25M","-0.05%"
"Mar 31, 2021","1.0002","1.0008","1.0018","0.9999","269.74M","-0.07%"
"Mar 30, 2021","1.0009","1.0002","1.0013","1.0002","197.43M","0.07%"
"Mar 29, 2021","1.0002","0.9998","1.0014","0.9998","218.76M","0.04%"
"Mar 28, 2021","0.9999","1.0004","1.0009","0.9997","118.91M","-0.05%"
"Mar 27, 2021","1.0004","1.0001","1.0007","0.9997","125.61M","0.03%"
"Mar 26, 2021","1.0001","1.0004","1.0009","0.9998","186.99M","-0.03%"
"Mar 25, 2021","1.0004","1.0004","1.0006","0.9986","227.32M","0.02%"
"Mar 24, 2021","1.0002","1.0001","1.0012","0.9994","235.91M","0.01%"
"Mar 23, 2021","1.0000","1.0004","1.0006","0.9993","253.32M","-0.03%"
"Mar 22, 2021","1.0004","1.0000","1.0006","0.9993","243.96M","0.02%"
"Mar 21, 2021","1.0001","0.9997","1.0002","0.9988","194.14M","0.04%"
"Mar 20, 2021","0.9997","1.0001","1.0010","0.9996","129.42M","-0.04%"
"Mar 19, 2021","1.0001","0.9998","1.0005","0.9991","169.85M","0.02%"
"Mar 18, 2021","0.9999","0.9994","1.0008","0.9984","200.28M","0.04%"
"Mar 17, 2021","0.9994","1.0001","1.0008","0.9988","299.07M","-0.06%"
"Mar 16, 2021","1.0000","1.0012","1.0021","0.9989","253.79M","-0.06%"
"Mar 15, 2021","1.0006","0.9998","1.0015","0.9989","267.01M","0.09%"
"Mar 14, 2021","0.9997","1.0000","1.0007","0.9994","128.64M","-0.03%"
"Mar 13, 2021","0.9999","1.0005","1.0019","0.9994","221.95M","-0.06%"
"Mar 12, 2021","1.0005","1.0014","1.0019","1.0002","171.11M","-0.02%"
"Mar 11, 2021","1.0007","1.0008","1.0017","1.0002","186.57M","0.00%"
"Mar 10, 2021","1.0008","1.0009","1.0015","1.0003","218.40M","-0.01%"
"Mar 09, 2021","1.0009","1.0004","1.0014","1.0003","187.10M","0.05%"
"Mar 08, 2021","1.0004","1.0004","1.0010","0.9998","157.45M","0.00%"
