"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","2.94525","3.04511","3.06056","2.84033","7.21M","-3.19%"
"Jun 30, 2021","3.04217","2.96721","3.04217","2.75317","8.83M","2.53%"
"Jun 29, 2021","2.96721","2.70153","2.98719","2.70086","10.60M","9.83%"
"Jun 28, 2021","2.70153","2.61970","2.73683","2.56675","5.83M","3.12%"
"Jun 27, 2021","2.61979","2.54121","2.62439","2.45737","7.03M","3.17%"
"Jun 26, 2021","2.53937","2.52678","2.62010","2.38949","7.80M","0.49%"
"Jun 25, 2021","2.52693","2.82714","2.87685","2.48473","10.81M","-10.62%"
"Jun 24, 2021","2.82703","2.68714","2.84097","2.57362","7.52M","5.21%"
"Jun 23, 2021","2.68714","2.36461","2.78294","2.28067","12.69M","13.64%"
"Jun 22, 2021","2.36460","2.49022","2.65478","2.12612","22.10M","-5.04%"
"Jun 21, 2021","2.49022","3.07698","3.09589","2.48031","14.70M","-19.07%"
"Jun 20, 2021","3.07698","3.03498","3.11383","2.87772","7.77M","1.38%"
"Jun 19, 2021","3.03498","3.09187","3.17279","3.01980","7.64M","-1.82%"
"Jun 18, 2021","3.09124","3.37081","3.38317","3.00051","11.11M","-8.29%"
"Jun 17, 2021","3.37081","3.11709","3.43083","3.11482","16.12M","8.14%"
"Jun 16, 2021","3.11709","3.27252","3.32832","3.09086","6.81M","-4.77%"
"Jun 15, 2021","3.27312","3.34958","3.39001","3.21797","7.53M","-2.28%"
"Jun 14, 2021","3.34958","3.31004","3.35601","3.19075","10.94M","1.18%"
"Jun 13, 2021","3.31067","3.13845","3.31831","3.00446","11.74M","5.66%"
"Jun 12, 2021","3.13344","3.13540","3.22212","2.92274","9.34M","-0.05%"
"Jun 11, 2021","3.13490","3.27512","3.36898","3.08497","9.76M","-4.03%"
"Jun 10, 2021","3.26666","3.50556","3.53566","3.19404","10.96M","-6.82%"
"Jun 09, 2021","3.50556","3.44781","3.52638","3.22765","17.35M","1.68%"
"Jun 08, 2021","3.44781","3.48593","3.57665","3.08773","23.86M","-1.11%"
"Jun 07, 2021","3.48640","3.84035","4.13160","3.44122","28.73M","-9.22%"
"Jun 06, 2021","3.84035","3.42913","3.88552","3.40806","15.24M","12.07%"
"Jun 05, 2021","3.42674","3.55316","3.68654","3.27769","10.55M","-3.56%"
"Jun 04, 2021","3.55316","3.87678","3.89755","3.37813","14.56M","-8.35%"
"Jun 03, 2021","3.87671","3.81332","3.99533","3.73131","9.69M","1.66%"
"Jun 02, 2021","3.81332","3.67343","3.87171","3.58472","14.19M","3.81%"
"Jun 01, 2021","3.67343","3.60482","3.69413","3.44769","16.21M","1.90%"
"May 31, 2021","3.60482","3.28764","3.60912","3.15187","13.98M","9.65%"
"May 30, 2021","3.28764","3.20458","3.44533","3.02334","13.72M","2.62%"
"May 29, 2021","3.20378","3.39386","3.56612","3.04181","17.70M","-5.60%"
"May 28, 2021","3.39386","3.85785","3.92885","3.25958","21.51M","-12.03%"
"May 27, 2021","3.85785","3.92085","4.16418","3.58459","17.24M","-1.61%"
"May 26, 2021","3.92085","3.66161","3.97491","3.58231","15.91M","7.08%"
"May 25, 2021","3.66159","3.53346","3.74507","3.26412","18.77M","3.63%"
"May 24, 2021","3.53346","2.90997","3.61078","2.84564","18.35M","21.43%"
"May 23, 2021","2.90997","3.43648","3.59769","2.44556","28.92M","-15.12%"
"May 22, 2021","3.42818","3.67465","3.74152","3.23990","20.41M","-6.71%"
"May 21, 2021","3.67465","4.18134","4.39211","3.14483","28.20M","-12.12%"
"May 20, 2021","4.18159","3.59668","4.46962","3.20175","32.03M","16.28%"
"May 19, 2021","3.59626","5.73546","5.82908","2.84332","56.89M","-37.30%"
"May 18, 2021","5.73546","5.17478","5.93614","5.10836","20.23M","10.83%"
"May 17, 2021","5.17478","5.67729","5.67729","5.03978","20.39M","-8.85%"
