"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.37815","0.41051","0.41051","0.37501","122.62M","-8.19%"
"Jun 30, 2021","0.41189","0.42733","0.42936","0.39510","160.13M","-3.29%"
"Jun 29, 2021","0.42591","0.42886","0.44258","0.42358","148.39M","-0.72%"
"Jun 28, 2021","0.42900","0.42746","0.43086","0.41140","140.37M","-0.53%"
"Jun 27, 2021","0.43127","0.42068","0.43127","0.40331","125.99M","1.83%"
"Jun 26, 2021","0.42354","0.42707","0.42707","0.39200","139.41M","-0.66%"
"Jun 25, 2021","0.42637","0.48621","0.48621","0.42637","169.48M","-12.33%"
"Jun 24, 2021","0.48633","0.47815","0.48633","0.44726","144.20M","1.43%"
"Jun 23, 2021","0.47945","0.45067","0.47945","0.44624","250.92M","6.08%"
"Jun 22, 2021","0.45198","0.45792","0.48336","0.37823","483.47M","-2.34%"
"Jun 21, 2021","0.46280","0.59183","0.59348","0.46280","350.14M","-21.36%"
"Jun 20, 2021","0.58852","0.58925","0.58925","0.54600","247.46M","-0.15%"
"Jun 19, 2021","0.58943","0.57901","0.61921","0.57901","232.65M","1.85%"
"Jun 18, 2021","0.57870","0.55962","0.62042","0.55962","364.85M","2.95%"
"Jun 17, 2021","0.56210","0.50380","0.56322","0.50317","290.71M","11.92%"
"Jun 16, 2021","0.50222","0.49580","0.51471","0.47569","147.92M","0.63%"
"Jun 15, 2021","0.49907","0.55393","0.55393","0.48450","202.62M","-9.09%"
"Jun 14, 2021","0.54898","0.56576","0.58694","0.52600","276.34M","-4.20%"
"Jun 13, 2021","0.57302","0.42291","0.57302","0.42291","484.65M","35.32%"
"Jun 12, 2021","0.42346","0.48426","0.50176","0.41600","304.20M","-11.95%"
"Jun 11, 2021","0.48093","0.52565","0.52565","0.47432","314.79M","-9.41%"
"Jun 10, 2021","0.53088","0.58259","0.61262","0.53088","324.62M","-7.45%"
"Jun 09, 2021","0.57363","0.57638","0.65077","0.57363","552.35M","-0.50%"
"Jun 08, 2021","0.57653","0.48000","0.58112","0.48000","733.60M","20.69%"
"Jun 07, 2021","0.47771","0.45970","0.53400","0.45970","335.39M","3.89%"
"Jun 06, 2021","0.45983","0.44337","0.46715","0.42177","178.34M","3.17%"
"Jun 05, 2021","0.44571","0.43230","0.48716","0.43230","361.61M","3.52%"
"Jun 04, 2021","0.43054","0.43595","0.44900","0.36548","304.59M","0.06%"
"Jun 03, 2021","0.43030","0.36700","0.43030","0.35922","148.00M","17.32%"
"Jun 02, 2021","0.36679","0.36111","0.36679","0.35147","66.39M","0.46%"
"Jun 01, 2021","0.36510","0.34010","0.36510","0.33808","99.40M","7.72%"
"May 31, 2021","0.33893","0.30460","0.33893","0.29139","64.93M","11.65%"
"May 30, 2021","0.30357","0.28651","0.30357","0.26734","67.03M","6.05%"
"May 29, 2021","0.28626","0.29310","0.32157","0.27193","96.50M","-2.56%"
"May 28, 2021","0.29378","0.31348","0.34955","0.29378","234.46M","-5.56%"
"May 27, 2021","0.31106","0.30748","0.31609","0.28456","69.97M","1.41%"
"May 26, 2021","0.30672","0.28000","0.30672","0.28000","77.66M","10.08%"
"May 25, 2021","0.27863","0.27943","0.27943","0.25594","69.37M","-0.10%"
"May 24, 2021","0.27890","0.25082","0.27890","0.23809","102.46M","11.25%"
"May 23, 2021","0.25070","0.27436","0.27635","0.22612","122.76M","-8.40%"
"May 22, 2021","0.27369","0.25397","0.28729","0.23311","138.71M","7.50%"
"May 21, 2021","0.25460","0.28248","0.29941","0.23619","92.52M","-11.50%"
"May 20, 2021","0.28769","0.23303","0.29717","0.22190","123.60M","22.72%"
"May 19, 2021","0.23442","0.33079","0.33079","0.20752","181.49M","-29.13%"
"May 18, 2021","0.33078","0.33098","0.34086","0.32075","50.98M","-0.28%"
"May 17, 2021","0.33172","0.34447","0.34547","0.31507","101.93M","-3.57%"
"May 16, 2021","0.34400","0.31668","0.35683","0.30851","79.77M","9.27%"
"May 15, 2021","0.31482","0.34015","0.34015","0.31272","39.15M","-7.45%"
"May 14, 2021","0.34018","0.33341","0.34436","0.33341","47.96M","2.09%"
"May 13, 2021","0.33323","0.28727","0.33323","0.28727","96.89M","16.00%"
"May 12, 2021","0.28726","0.36448","0.37182","0.28726","73.55M","-21.30%"
"May 11, 2021","0.36500","0.34743","0.36729","0.33108","55.60M","5.31%"
"May 10, 2021","0.34661","0.38752","0.38840","0.34250","101.12M","-10.48%"
"May 09, 2021","0.38717","0.40215","0.41307","0.37960","57.58M","-3.72%"
"May 08, 2021","0.40215","0.40503","0.41313","0.39331","76.72M","-0.92%"
"May 07, 2021","0.40589","0.38287","0.41987","0.38151","131.59M","5.99%"
"May 06, 2021","0.38295","0.38439","0.39722","0.37461","125.04M","-0.32%"
"May 05, 2021","0.38419","0.37139","0.39370","0.36897","184.22M","16.04%"
"May 04, 2021","0.33107","0.37214","0.37214","0.32533","111.48M","-11.07%"
"May 03, 2021","0.37227","0.35707","0.38754","0.35707","157.75M","4.31%"
"May 02, 2021","0.35689","0.35920","0.36564","0.34501","60.29M","-0.66%"
"May 01, 2021","0.35927","0.35700","0.37244","0.35529","81.93M","0.31%"
"Apr 30, 2021","0.35815","0.33884","0.35815","0.32832","94.40M","6.52%"
"Apr 29, 2021","0.33623","0.31489","0.33692","0.31489","165.90M","7.06%"
"Apr 28, 2021","0.31406","0.32050","0.32671","0.29555","110.73M","-2.16%"
"Apr 27, 2021","0.32100","0.30093","0.33648","0.30093","121.85M","6.19%"
"Apr 26, 2021","0.30228","0.26859","0.31333","0.26859","159.27M","13.73%"
"Apr 25, 2021","0.26578","0.23966","0.29086","0.23966","116.69M","11.44%"
"Apr 24, 2021","0.23850","0.26467","0.26467","0.23850","109.74M","-10.00%"
"Apr 23, 2021","0.26500","0.25001","0.26500","0.20311","318.77M","5.58%"
"Apr 22, 2021","0.25100","0.29260","0.29260","0.25100","116.34M","-13.64%"
"Apr 21, 2021","0.29066","0.31082","0.31296","0.29066","99.19M","-6.47%"
"Apr 20, 2021","0.31078","0.30003","0.31078","0.27802","113.80M","3.32%"
"Apr 19, 2021","0.30078","0.31895","0.33679","0.29160","99.92M","-5.44%"
"Apr 18, 2021","0.31809","0.35557","0.35557","0.28700","123.21M","-10.73%"
"Apr 17, 2021","0.35631","0.38800","0.39094","0.35631","146.13M","-8.39%"
"Apr 16, 2021","0.38893","0.36513","0.40350","0.34170","319.42M","7.11%"
"Apr 15, 2021","0.36313","0.33436","0.36507","0.33436","151.07M","8.60%"
"Apr 14, 2021","0.33437","0.35267","0.35267","0.32228","110.56M","-5.11%"
"Apr 13, 2021","0.35236","0.35775","0.35775","0.33944","94.12M","-1.47%"
"Apr 12, 2021","0.35760","0.35467","0.35760","0.33849","91.96M","0.79%"
"Apr 11, 2021","0.35480","0.36133","0.36240","0.34460","78.75M","-1.91%"
"Apr 10, 2021","0.36172","0.37499","0.37499","0.35855","85.47M","-3.65%"
"Apr 09, 2021","0.37543","0.38273","0.38273","0.37187","76.66M","-1.89%"
"Apr 08, 2021","0.38266","0.36175","0.38266","0.35444","140.17M","6.56%"
"Apr 07, 2021","0.35910","0.34743","0.37578","0.34350","242.82M","3.26%"
"Apr 06, 2021","0.34776","0.37697","0.37697","0.34108","169.75M","-7.74%"
"Apr 05, 2021","0.37692","0.41023","0.41023","0.37692","132.39M","-8.21%"
"Apr 04, 2021","0.41065","0.39311","0.41065","0.39311","88.38M","4.11%"
"Apr 03, 2021","0.39444","0.43929","0.46592","0.39444","162.54M","-10.08%"
"Apr 02, 2021","0.43868","0.41522","0.44413","0.41522","228.31M","5.44%"
"Apr 01, 2021","0.41604","0.41587","0.41604","0.40712","229.91M","0.31%"
"Mar 31, 2021","0.41474","0.41143","0.44667","0.40118","249.62M","0.94%"
"Mar 30, 2021","0.41090","0.41158","0.41194","0.40288","128.66M","-0.29%"
"Mar 29, 2021","0.41210","0.40118","0.43729","0.40118","190.50M","3.18%"
"Mar 28, 2021","0.39938","0.39678","0.40334","0.38535","131.22M","0.66%"
"Mar 27, 2021","0.39676","0.41663","0.41663","0.39097","149.76M","-5.14%"
"Mar 26, 2021","0.41827","0.41719","0.41827","0.39630","190.80M","0.19%"
"Mar 25, 2021","0.41748","0.39241","0.42577","0.38087","308.21M","5.95%"
"Mar 24, 2021","0.39403","0.47982","0.54131","0.39300","510.06M","-17.93%"
"Mar 23, 2021","0.48014","0.37171","0.51521","0.37171","874.86M","29.37%"
"Mar 22, 2021","0.37113","0.33298","0.41670","0.33298","388.56M","11.27%"
"Mar 21, 2021","0.33355","0.31784","0.33355","0.31050","137.30M","4.95%"
"Mar 20, 2021","0.31782","0.33937","0.34554","0.31782","121.37M","-6.52%"
"Mar 19, 2021","0.34000","0.35202","0.35979","0.33980","233.56M","-3.61%"
"Mar 18, 2021","0.35274","0.34777","0.36764","0.31832","236.35M","1.37%"
"Mar 17, 2021","0.34797","0.35318","0.35318","0.30168","206.68M","-1.45%"
"Mar 16, 2021","0.35307","0.34488","0.36425","0.31977","257.93M","2.84%"
"Mar 15, 2021","0.34333","0.37420","0.37420","0.34333","372.28M","-8.30%"
"Mar 14, 2021","0.37443","0.37053","0.39427","0.34872","346.47M","1.28%"
"Mar 13, 2021","0.36970","0.39007","0.41000","0.36533","279.54M","-6.02%"
"Mar 12, 2021","0.39337","0.36251","0.44014","0.36251","599.94M","10.00%"
"Mar 11, 2021","0.35761","0.25997","0.41866","0.25997","1.53B","41.20%"
"Mar 10, 2021","0.25327","0.18518","0.25327","0.18029","535.49M","37.09%"
"Mar 09, 2021","0.18475","0.17258","0.18702","0.17030","203.11M","7.65%"
"Mar 08, 2021","0.17161","0.14691","0.17161","0.14169","309.49M","16.75%"
"Mar 07, 2021","0.14699","0.14111","0.14699","0.13850","122.49M","4.29%"
"Mar 06, 2021","0.14095","0.13979","0.14875","0.13903","153.15M","0.70%"
"Mar 05, 2021","0.13997","0.14333","0.15786","0.13912","472.44M","-2.34%"
"Mar 04, 2021","0.14333","0.12788","0.14552","0.12386","259.56M","11.04%"
"Mar 03, 2021","0.12908","0.12261","0.13396","0.12261","234.37M","5.34%"
"Mar 02, 2021","0.12253","0.11191","0.13665","0.11191","594.09M","9.39%"
"Mar 01, 2021","0.11201","0.09246","0.11310","0.09246","152.17M","21.62%"
"Feb 28, 2021","0.09210","0.09438","0.09802","0.08996","237.24M","-2.93%"
"Feb 27, 2021","0.09488","0.08286","0.09910","0.08286","374.11M","14.51%"
"Feb 26, 2021","0.08286","0.07903","0.08534","0.07440","100.44M","5.42%"
"Feb 25, 2021","0.07860","0.08711","0.08795","0.07860","102.65M","-9.82%"
"Feb 24, 2021","0.08715","0.08448","0.08941","0.08353","149.16M","3.29%"
"Feb 23, 2021","0.08438","0.09249","0.09249","0.06913","254.10M","-8.17%"
"Feb 22, 2021","0.09189","0.09045","0.09271","0.08280","308.31M","1.60%"
"Feb 21, 2021","0.09044","0.08922","0.09469","0.08917","162.16M","1.40%"
"Feb 20, 2021","0.08919","0.08682","0.10311","0.08219","537.71M","3.14%"
"Feb 19, 2021","0.08648","0.06105","0.09542","0.06105","851.57M","42.15%"
"Feb 18, 2021","0.06084","0.05859","0.06215","0.05859","104.49M","4.18%"
"Feb 17, 2021","0.05839","0.05809","0.05968","0.05680","147.01M","0.72%"
"Feb 16, 2021","0.05798","0.06087","0.06298","0.05504","161.88M","-4.15%"
"Feb 15, 2021","0.06048","0.05766","0.06262","0.04955","312.95M","5.07%"
"Feb 14, 2021","0.05756","0.05375","0.05756","0.05159","130.02M","6.96%"
"Feb 13, 2021","0.05381","0.04819","0.05878","0.04819","428.16M","11.94%"
"Feb 12, 2021","0.04807","0.04920","0.04920","0.04619","175.00M","6.71%"
"Feb 11, 2021","0.04505","0.04201","0.04505","0.04157","430.82M","7.24%"
"Feb 10, 2021","0.04201","0.04205","0.04460","0.04089","299.90M","0.30%"
"Feb 09, 2021","0.04188","0.03896","0.04322","0.03887","452.05M","5.50%"
"Feb 08, 2021","0.03970","0.03559","0.03970","0.03531","224.17M","11.55%"
"Feb 07, 2021","0.03559","0.03409","0.03570","0.03345","63.37M","4.16%"
"Feb 06, 2021","0.03417","0.03535","0.03535","0.03364","97.59M","-3.64%"
"Feb 05, 2021","0.03546","0.03262","0.03604","0.03262","230.11M","8.70%"
"Feb 04, 2021","0.03262","0.03288","0.03288","0.03118","75.37M","-0.68%"
"Feb 03, 2021","0.03285","0.03051","0.03285","0.03051","66.58M","7.67%"
"Feb 02, 2021","0.03051","0.02905","0.03152","0.02858","137.10M","4.35%"
"Feb 01, 2021","0.02923","0.02778","0.02923","0.02702","87.89M","4.91%"
"Jan 31, 2021","0.02787","0.02877","0.02877","0.02757","48.34M","-3.24%"
"Jan 30, 2021","0.02880","0.02953","0.02953","0.02880","59.89M","-2.19%"
"Jan 29, 2021","0.02944","0.02932","0.03028","0.02902","131.77M","0.16%"
"Jan 28, 2021","0.02940","0.02928","0.03028","0.02928","113.96M","0.55%"
"Jan 27, 2021","0.02924","0.03315","0.03315","0.02907","114.83M","-11.73%"
"Jan 26, 2021","0.03312","0.02909","0.03334","0.02909","271.94M","13.86%"
"Jan 25, 2021","0.02909","0.02850","0.03128","0.02819","141.78M","2.07%"
"Jan 24, 2021","0.02850","0.02938","0.02938","0.02781","102.31M","-2.98%"
"Jan 23, 2021","0.02938","0.02734","0.02951","0.02734","78.50M","7.64%"
"Jan 22, 2021","0.02729","0.02478","0.02824","0.02365","95.00M","9.85%"
"Jan 21, 2021","0.02485","0.02959","0.02959","0.02469","120.51M","-16.39%"
"Jan 20, 2021","0.02971","0.02931","0.02971","0.02713","187.77M","1.53%"
"Jan 19, 2021","0.02926","0.02760","0.02926","0.02719","154.77M","6.55%"
"Jan 18, 2021","0.02747","0.02653","0.02747","0.02605","81.84M","3.72%"
"Jan 17, 2021","0.02648","0.02747","0.02759","0.02635","72.32M","-3.69%"
"Jan 16, 2021","0.02750","0.02771","0.02822","0.02733","153.09M","-0.78%"
"Jan 15, 2021","0.02771","0.02929","0.02929","0.02667","136.42M","-5.55%"
"Jan 14, 2021","0.02934","0.02865","0.02950","0.02778","190.13M","2.43%"
"Jan 13, 2021","0.02864","0.02534","0.02864","0.02482","197.48M","13.07%"
"Jan 12, 2021","0.02533","0.02474","0.02759","0.02474","389.35M","1.94%"
"Jan 11, 2021","0.02485","0.02625","0.02625","0.02017","317.83M","-5.63%"
"Jan 10, 2021","0.02633","0.02767","0.02799","0.02522","116.54M","-4.84%"
"Jan 09, 2021","0.02767","0.02674","0.02788","0.02618","142.99M","3.64%"
"Jan 08, 2021","0.02670","0.02857","0.02857","0.02600","176.67M","-5.90%"
