"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","6.3145","6.9122","6.9149","6.1405","24.22M","-8.63%"
"Jun 30, 2021","6.9110","7.0717","7.2653","6.4378","27.08M","-2.27%"
"Jun 29, 2021","7.0717","6.9170","7.3945","6.8915","24.12M","2.24%"
"Jun 28, 2021","6.9170","6.9139","7.1370","6.7189","23.11M","0.28%"
"Jun 27, 2021","6.8975","6.5609","6.9188","6.3625","24.23M","4.96%"
"Jun 26, 2021","6.5716","6.6801","6.9273","6.1269","32.74M","-1.72%"
"Jun 25, 2021","6.6867","7.3036","7.4308","6.3733","36.81M","-8.40%"
"Jun 24, 2021","7.3001","6.9214","7.3277","6.6150","31.95M","5.47%"
"Jun 23, 2021","6.9214","6.4467","7.4944","6.0801","49.50M","7.48%"
"Jun 22, 2021","6.4400","6.5215","7.2925","5.2678","74.46M","-1.25%"
"Jun 21, 2021","6.5215","8.6991","8.7767","6.5009","40.64M","-25.03%"
"Jun 20, 2021","8.6991","8.8297","8.8964","8.0647","19.42M","-1.48%"
"Jun 19, 2021","8.8297","8.9722","9.1767","8.6574","16.27M","-1.59%"
"Jun 18, 2021","8.9722","9.5099","10.0817","8.5227","40.26M","-5.58%"
"Jun 17, 2021","9.5026","8.9620","9.6451","8.9447","30.22M","6.06%"
"Jun 16, 2021","8.9593","8.9168","9.0961","8.5695","16.78M","0.48%"
"Jun 15, 2021","8.9168","9.0630","9.3234","8.8217","16.58M","-1.61%"
"Jun 14, 2021","9.0625","8.7668","9.4247","8.6002","29.19M","3.35%"
"Jun 13, 2021","8.7690","7.8110","8.8938","7.6683","25.38M","12.24%"
"Jun 12, 2021","7.8130","7.9489","8.2238","7.3637","27.94M","-1.71%"
"Jun 11, 2021","7.9489","8.7170","8.7444","7.6225","28.11M","-8.81%"
"Jun 10, 2021","8.7169","9.3823","9.4947","8.5264","28.68M","-7.09%"
"Jun 09, 2021","9.3823","8.9337","9.6559","8.3568","54.97M","5.02%"
"Jun 08, 2021","8.9337","8.7259","9.1596","8.0484","63.09M","2.76%"
"Jun 07, 2021","8.6934","8.8387","10.0700","8.6051","54.84M","-1.57%"
"Jun 06, 2021","8.8319","8.9536","9.2886","8.5930","25.09M","-1.38%"
"Jun 05, 2021","8.9550","8.8701","9.9815","8.6820","56.96M","0.74%"
"Jun 04, 2021","8.8889","9.5597","10.3547","8.0325","85.93M","-7.01%"
