"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.9997","0.9998","1.0006","0.9991","14.30M","-0.01%"
"Jun 30, 2021","0.9998","1.0000","1.0003","0.9990","14.26M","-0.02%"
"Jun 29, 2021","1.0000","0.9998","1.0006","0.9995","16.57M","0.02%"
"Jun 28, 2021","0.9998","0.9998","1.0015","0.9995","14.18M","0.01%"
"Jun 27, 2021","0.9998","1.0000","1.0000","0.9965","13.58M","-0.03%"
"Jun 26, 2021","1.0000","1.0000","1.0028","0.9993","17.24M","0.00%"
"Jun 25, 2021","1.0001","1.0001","1.0006","0.9998","23.92M","0.00%"
"Jun 24, 2021","1.0001","1.0000","1.0013","0.9994","20.14M","0.01%"
"Jun 23, 2021","1.0000","0.9996","1.0000","0.9993","21.45M","0.04%"
"Jun 22, 2021","0.9996","1.0002","1.0006","0.9991","33.68M","-0.07%"
"Jun 21, 2021","1.0002","1.0004","1.0012","0.9988","27.51M","-0.01%"
"Jun 20, 2021","1.0003","0.9992","1.0005","0.9980","20.35M","0.10%"
"Jun 19, 2021","0.9992","0.9992","0.9994","0.9982","25.28M","0.01%"
"Jun 18, 2021","0.9992","0.9999","0.9999","0.9979","26.08M","-0.06%"
"Jun 17, 2021","0.9998","1.0001","1.0006","0.9994","21.92M","-0.03%"
"Jun 16, 2021","1.0001","1.0000","1.0019","0.9981","23.43M","0.01%"
"Jun 15, 2021","1.0000","0.9996","1.0016","0.9977","24.93M","0.04%"
"Jun 14, 2021","0.9996","0.9999","1.0000","0.9993","21.58M","-0.03%"
"Jun 13, 2021","0.9999","1.0000","1.0000","0.9993","19.05M","-0.01%"
"Jun 12, 2021","1.0000","0.9998","1.0000","0.9989","20.24M","0.03%"
"Jun 11, 2021","0.9997","0.9995","0.9999","0.9989","19.06M","0.01%"
"Jun 10, 2021","0.9995","0.9994","1.0006","0.9978","20.51M","0.02%"
"Jun 09, 2021","0.9993","0.9993","0.9996","0.9987","19.13M","0.00%"
"Jun 08, 2021","0.9993","0.9996","1.0000","0.9985","26.33M","-0.03%"
"Jun 07, 2021","0.9996","0.9998","1.0008","0.9987","20.35M","-0.01%"
"Jun 06, 2021","0.9998","0.9997","1.0008","0.9993","15.74M","0.00%"
"Jun 05, 2021","0.9997","0.9994","1.0005","0.9993","34.82M","0.03%"
"Jun 04, 2021","0.9994","0.9999","1.0001","0.9987","22.35M","-0.05%"
"Jun 03, 2021","0.9999","0.9999","1.0002","0.9995","21.39M","0.01%"
"Jun 02, 2021","0.9998","1.0001","1.0004","0.9996","21.69M","-0.03%"
"Jun 01, 2021","1.0001","0.9997","1.0008","0.9993","21.64M","0.05%"
