"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","9.0900","9.9400","9.9400","9.0900","254.84K","-8.64%"
"Jun 30, 2021","9.9500","8.9240","10.4950","8.9240","1.24M","11.56%"
"Jun 29, 2021","8.9190","8.6680","9.1030","8.6680","185.03K","2.90%"
"Jun 28, 2021","8.6680","8.3880","8.6680","8.3260","211.74K","3.34%"
"Jun 27, 2021","8.3880","7.9470","8.3880","7.8630","129.68K","5.55%"
"Jun 26, 2021","7.9470","8.0940","8.0940","7.7870","123.36K","-1.82%"
"Jun 25, 2021","8.0940","9.1550","9.1550","8.0940","231.01K","-11.59%"
"Jun 24, 2021","9.1550","8.8270","9.1550","8.8010","115.60K","3.72%"
"Jun 23, 2021","8.8270","8.8100","9.3660","8.8100","168.13K","0.19%"
"Jun 22, 2021","8.8100","8.5790","8.8100","8.5790","381.58K","2.69%"
"Jun 21, 2021","8.5790","10.7130","10.7130","8.5790","343.92K","-19.92%"
"Jun 20, 2021","10.7130","10.7030","10.7130","10.5310","212.89K","0.09%"
"Jun 19, 2021","10.7030","10.8340","10.9740","10.7030","98.93K","-1.21%"
"Jun 18, 2021","10.8340","11.8430","11.8430","10.8340","271.08K","-8.52%"
"Jun 17, 2021","11.8430","11.9570","12.2870","11.8430","371.10K","-0.95%"
"Jun 16, 2021","11.9570","12.5380","12.9030","11.9570","540.43K","-4.63%"
"Jun 15, 2021","12.5380","12.4640","12.5380","12.1530","374.43K","0.59%"
"Jun 14, 2021","12.4640","11.8470","12.4640","11.8470","295.57K","5.21%"
"Jun 13, 2021","11.8470","11.2870","11.8470","11.1200","248.68K","4.96%"
"Jun 12, 2021","11.2870","11.2620","11.6150","10.8170","354.73K","0.22%"
"Jun 11, 2021","11.2620","12.3730","12.3730","11.2620","181.38K","-8.98%"
"Jun 10, 2021","12.3730","13.0290","13.4900","12.3730","364.32K","-5.03%"
"Jun 09, 2021","13.0290","12.8710","13.0640","12.7560","433.42K","1.18%"
"Jun 08, 2021","12.8770","13.3970","13.3970","12.7330","961.44K","-3.88%"
"Jun 07, 2021","13.3970","14.8640","15.2140","13.3970","281.46K","-9.87%"
"Jun 06, 2021","14.8640","15.1990","15.1990","14.8640","241.81K","-2.20%"
"Jun 05, 2021","15.1990","16.2400","16.3360","15.1000","478.26K","-6.67%"
"Jun 04, 2021","16.2850","14.6050","16.2850","14.6050","1.61M","11.50%"
"Jun 03, 2021","14.6050","14.0310","14.6360","14.0310","305.65K","4.09%"
"Jun 02, 2021","14.0310","13.7080","14.2610","13.3880","208.46K","2.68%"
"Jun 01, 2021","13.6650","13.8460","13.8460","13.2280","214.03K","-1.31%"
"May 31, 2021","13.8460","12.7810","13.8460","12.3280","166.94K","8.43%"
"May 30, 2021","12.7690","12.1830","12.9050","12.1830","139.43K","4.81%"
"May 29, 2021","12.1830","13.2210","13.7490","12.1830","249.60K","-7.85%"
"May 28, 2021","13.2210","14.5660","14.5660","13.2210","245.43K","-9.20%"
"May 27, 2021","14.5600","15.7690","15.7690","14.3040","190.29K","-7.67%"
"May 26, 2021","15.7690","14.4190","15.7690","14.1470","449.07K","9.41%"
"May 25, 2021","14.4130","14.2570","14.4130","13.7200","257.21K","1.17%"
"May 24, 2021","14.2470","11.6770","14.2470","11.3290","390.27K","22.01%"
"May 23, 2021","11.6770","13.6330","13.6330","11.6770","333.83K","-14.35%"
"May 22, 2021","13.6330","15.1210","15.1210","13.6330","416.83K","-9.84%"
"May 21, 2021","15.1210","18.0140","18.0140","15.1210","401.25K","-16.06%"
"May 20, 2021","18.0140","16.1250","18.0140","16.1250","353.85K","11.80%"
"May 19, 2021","16.1130","24.8040","24.8040","16.1130","838.25K","-35.11%"
"May 18, 2021","24.8300","21.6990","24.8300","21.6990","629.03K","14.43%"
"May 17, 2021","21.6990","24.5140","24.5140","21.6990","554.41K","-11.42%"
"May 16, 2021","24.4960","23.6220","24.7590","23.5910","559.06K","3.67%"
"May 15, 2021","23.6280","27.6880","27.6880","23.6280","386.19K","-14.66%"
"May 14, 2021","27.6880","24.4810","27.6880","24.4810","309.53K","13.10%"
