"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","2.4205","2.5644","2.5644","2.3816","228.07K","-5.61%"
"Jun 30, 2021","2.5644","2.3202","2.5644","2.3174","171.13K","10.64%"
"Jun 29, 2021","2.3178","2.4165","2.5053","2.3006","300.49K","-4.08%"
"Jun 28, 2021","2.4165","2.0874","2.4887","2.0670","544.43K","16.67%"
"Jun 27, 2021","2.0713","2.1347","2.5134","2.0664","1.07M","-2.97%"
"Jun 26, 2021","2.1347","2.3580","2.4256","2.1293","1.04M","-9.47%"
"Jun 25, 2021","2.3580","2.3935","2.5693","2.3492","478.93K","-1.50%"
"Jun 24, 2021","2.3939","2.4259","2.6365","2.3909","175.70K","-1.32%"
"Jun 23, 2021","2.4260","2.4824","2.7474","2.3930","312.48K","-2.38%"
"Jun 22, 2021","2.4851","2.4930","2.5907","2.3783","543.20K","-0.32%"
"Jun 21, 2021","2.4930","2.5730","2.6089","2.4899","159.61K","-3.11%"
"Jun 20, 2021","2.5730","2.5860","2.6387","2.5571","128.66K","-0.50%"
"Jun 19, 2021","2.5860","2.6513","2.6752","2.5687","83.10K","-2.46%"
"Jun 18, 2021","2.6513","2.5422","2.6681","2.5389","110.66K","4.29%"
"Jun 17, 2021","2.5422","2.5508","2.7440","2.5390","208.10K","-0.34%"
"Jun 16, 2021","2.5508","2.3821","2.7412","2.3804","402.76K","7.08%"
"Jun 15, 2021","2.3821","2.4820","2.4828","2.3816","551.26K","-4.02%"
"Jun 14, 2021","2.4820","2.7674","2.8031","2.4800","306.12K","-10.31%"
"Jun 13, 2021","2.7674","2.3916","2.8008","2.3850","323.22K","15.71%"
"Jun 12, 2021","2.3916","2.4146","2.4948","2.3808","206.26K","-0.96%"
"Jun 11, 2021","2.4149","2.3780","2.5605","2.3759","150.60K","1.55%"
"Jun 10, 2021","2.3780","2.4633","2.4784","2.3734","221.29K","-3.47%"
"Jun 09, 2021","2.4636","2.6237","2.6341","2.4487","531.11K","-6.10%"
"Jun 08, 2021","2.6237","2.4642","2.8593","2.4541","417.49K","6.47%"
"Jun 07, 2021","2.4642","2.5139","2.5375","2.4475","210.42K","-1.98%"
"Jun 06, 2021","2.5139","2.6274","2.6365","2.5065","165.03K","-4.32%"
"Jun 05, 2021","2.6274","2.7156","2.7204","2.6213","139.87K","-3.24%"
"Jun 04, 2021","2.7153","2.8885","2.9426","2.7080","276.79K","-6.00%"
"Jun 03, 2021","2.8885","2.7481","2.8909","2.7315","135.46K","5.11%"
"Jun 02, 2021","2.7481","2.6741","2.8932","2.6689","196.08K","2.79%"
"Jun 01, 2021","2.6737","2.4129","2.6791","2.3907","173.44K","10.81%"
"May 31, 2021","2.4129","2.2819","2.4511","2.2779","257.27K","5.69%"
"May 30, 2021","2.2830","2.0767","2.2869","2.0767","144.77K","9.60%"
"May 29, 2021","2.0830","2.1279","2.1594","2.0518","160.82K","-2.11%"
"May 28, 2021","2.1279","2.0689","2.1624","2.0342","399.81K","2.85%"
"May 27, 2021","2.0689","2.1692","2.1716","2.0478","818.06K","-4.50%"
"May 26, 2021","2.1663","2.2616","2.2696","2.1621","795.28K","-4.51%"
"May 25, 2021","2.2685","2.3609","2.4535","2.2442","486.27K","-4.25%"
"May 24, 2021","2.3692","2.5191","2.5301","2.3454","507.84K","-5.95%"
"May 23, 2021","2.5191","2.4642","2.6831","2.3459","438.53K","3.23%"
"May 22, 2021","2.4402","2.5911","2.5979","2.4402","359.11K","-5.82%"
"May 21, 2021","2.5911","2.9404","2.9853","2.5738","997.02K","-11.88%"
"May 20, 2021","2.9405","2.8032","3.0094","2.6746","538.85K","3.94%"
"May 19, 2021","2.8290","2.8474","3.2992","2.7038","1.23M","-0.65%"
"May 18, 2021","2.8474","3.2694","3.3084","2.8308","797.89K","-12.91%"
"May 17, 2021","3.2694","3.5829","3.8883","3.2390","543.12K","-8.75%"
"May 16, 2021","3.5829","3.7043","3.7766","3.4542","352.69K","-3.28%"
"May 15, 2021","3.7043","3.3150","3.7435","3.3120","307.13K","11.75%"
"May 14, 2021","3.3150","3.3586","3.9186","3.3020","726.39K","-1.30%"
"May 13, 2021","3.3586","3.8918","3.8918","3.3356","469.46K","-13.66%"
"May 12, 2021","3.8899","3.7711","3.9219","3.7705","695.71K","3.15%"
"May 11, 2021","3.7711","3.5022","3.7727","3.2826","518.98K","7.68%"
"May 10, 2021","3.5022","2.9378","3.5995","2.9172","860.08K","19.21%"
"May 09, 2021","2.9378","3.0089","3.0664","2.9378","252.60K","-2.36%"
"May 08, 2021","3.0089","2.8649","3.0704","2.8480","219.01K","4.98%"
"May 07, 2021","2.8662","2.9109","2.9109","2.8298","337.31K","-1.53%"
"May 06, 2021","2.9108","2.9506","2.9897","2.7788","392.52K","-1.35%"
"May 05, 2021","2.9506","2.5366","2.9533","2.5021","1.01M","16.33%"
"May 04, 2021","2.5365","2.5028","2.5387","2.4883","290.96K","1.35%"
"May 03, 2021","2.5028","2.4603","2.5126","2.4592","477.98K","1.73%"
"May 02, 2021","2.4602","2.4589","2.4638","2.4351","79.21K","0.05%"
"May 01, 2021","2.4589","2.4088","2.4595","2.4085","146.58K","2.08%"
"Apr 30, 2021","2.4088","2.3334","2.4090","2.3068","434.71K","3.23%"
"Apr 29, 2021","2.3334","2.3060","2.3416","2.3033","135.94K","1.18%"
"Apr 28, 2021","2.3060","2.3415","2.3503","2.3038","214.68K","-1.52%"
"Apr 27, 2021","2.3415","2.2965","2.3581","2.2951","359.72K","1.96%"
"Apr 26, 2021","2.2965","2.2960","2.3104","2.2849","163.38K","0.02%"
"Apr 25, 2021","2.2960","2.2531","2.3075","2.2266","185.53K","1.90%"
"Apr 24, 2021","2.2531","2.2875","2.3043","2.2425","176.46K","-1.50%"
"Apr 23, 2021","2.2875","2.2138","2.2914","1.9939","505.72K","3.33%"
"Apr 22, 2021","2.2138","2.1886","2.2836","2.1579","434.69K","1.15%"
"Apr 21, 2021","2.1886","2.1753","2.2103","2.1654","182.72K","0.66%"
"Apr 20, 2021","2.1744","1.9513","2.2565","1.9183","499.33K","11.44%"
"Apr 19, 2021","1.9512","2.1702","2.2828","1.9074","2.38M","-10.11%"
"Apr 18, 2021","2.1708","2.2589","2.2707","2.1448","632.71K","-3.91%"
"Apr 17, 2021","2.2590","2.2486","2.2631","2.2346","216.19K","0.46%"
"Apr 16, 2021","2.2486","2.2518","2.2625","2.1774","953.79K","-0.14%"
"Apr 15, 2021","2.2518","2.1726","2.2575","2.1658","1.50M","3.65%"
"Apr 14, 2021","2.1726","2.1312","2.1729","2.1102","903.65K","1.94%"
"Apr 13, 2021","2.1312","2.1136","2.1405","2.1102","297.57K","0.83%"
"Apr 12, 2021","2.1136","2.1110","2.1554","2.1104","378.71K","0.12%"
"Apr 11, 2021","2.1110","2.1082","2.1409","2.1080","318.32K","0.13%"
"Apr 10, 2021","2.1082","2.0959","2.1383","2.0848","286.86K","0.59%"
"Apr 09, 2021","2.0958","2.0970","2.1140","2.0813","181.16K","-0.06%"
"Apr 08, 2021","2.0970","2.0801","2.1204","2.0797","230.72K","0.82%"
"Apr 07, 2021","2.0801","2.0868","2.1014","2.0794","313.48K","-0.32%"
"Apr 06, 2021","2.0868","2.0316","2.0954","1.9597","400.26K","2.71%"
"Apr 05, 2021","2.0317","1.9792","2.0333","1.9784","339.32K","2.66%"
"Apr 04, 2021","1.9791","2.0091","2.0301","1.9780","182.35K","-1.50%"
"Apr 03, 2021","2.0092","2.0210","2.0431","2.0019","200.87K","-0.56%"
"Apr 02, 2021","2.0206","2.0322","2.0418","2.0129","219.60K","-0.57%"
"Apr 01, 2021","2.0321","2.0313","2.0555","2.0215","245.03K","0.04%"
"Mar 31, 2021","2.0313","2.0713","2.0902","2.0120","476.45K","-1.93%"
"Mar 30, 2021","2.0713","2.1129","2.1194","2.0474","332.17K","-1.97%"
"Mar 29, 2021","2.1129","2.1315","2.1412","2.0991","262.55K","-0.87%"
"Mar 28, 2021","2.1315","2.1313","2.1660","2.1291","122.04K","0.01%"
"Mar 27, 2021","2.1313","2.1215","2.1381","2.1158","325.16K","0.46%"
"Mar 26, 2021","2.1215","2.1114","2.1303","2.0943","439.59K","0.48%"
"Mar 25, 2021","2.1114","2.0969","2.1236","2.0924","409.79K","0.69%"
"Mar 24, 2021","2.0969","2.1043","2.1221","2.0939","189.19K","-0.35%"
"Mar 23, 2021","2.1043","2.1133","2.1213","2.1028","132.09K","-0.42%"
"Mar 22, 2021","2.1133","2.1187","2.1218","2.1122","163.34K","-0.26%"
"Mar 21, 2021","2.1187","2.1070","2.1221","2.1037","181.52K","0.51%"
"Mar 20, 2021","2.1080","2.0964","2.1167","2.0930","158.24K","0.55%"
"Mar 19, 2021","2.0964","2.1155","2.1160","2.0908","127.57K","-0.90%"
"Mar 18, 2021","2.1155","2.1091","2.1175","2.1016","299.13K","0.31%"
"Mar 17, 2021","2.1091","2.0473","2.1144","2.0454","388.72K","3.02%"
"Mar 16, 2021","2.0473","2.0411","2.0774","2.0345","196.67K","0.30%"
"Mar 15, 2021","2.0411","2.0106","2.0556","1.9843","193.53K","1.52%"
"Mar 14, 2021","2.0106","2.0000","2.0179","1.9840","133.37K","0.51%"
"Mar 13, 2021","2.0004","2.0423","2.0686","1.9963","200.17K","-2.06%"
"Mar 12, 2021","2.0423","2.0530","2.0735","1.9599","216.70K","-0.52%"
"Mar 11, 2021","2.0530","2.0193","2.0536","2.0177","145.77K","1.67%"
"Mar 10, 2021","2.0193","1.9769","2.0281","1.9719","224.52K","2.13%"
"Mar 09, 2021","1.9772","1.9193","1.9808","1.9131","165.90K","3.02%"
"Mar 08, 2021","1.9193","1.8885","1.9463","1.8882","131.29K","1.63%"
"Mar 07, 2021","1.8885","1.9135","1.9630","1.8357","117.41K","-1.30%"
"Mar 06, 2021","1.9135","1.8762","1.9298","1.8612","155.61K","1.99%"
"Mar 05, 2021","1.8762","1.9105","1.9130","1.8395","378.61K","-1.80%"
"Mar 04, 2021","1.9105","1.9302","1.9337","1.8850","263.41K","-1.02%"
"Mar 03, 2021","1.9302","1.9259","2.0395","1.9241","268.04K","0.21%"
"Mar 02, 2021","1.9262","2.0945","2.1053","1.9144","291.30K","-8.04%"
"Mar 01, 2021","2.0945","1.9079","2.1023","1.8963","457.06K","9.77%"
"Feb 28, 2021","1.9080","2.0427","2.0427","1.8754","571.94K","-6.59%"
"Feb 27, 2021","2.0425","2.0293","2.0709","1.9980","346.09K","0.65%"
"Feb 26, 2021","2.0293","1.9474","2.0302","1.8887","574.88K","4.20%"
"Feb 25, 2021","1.9475","1.9282","2.1050","1.9280","755.41K","1.00%"
"Feb 24, 2021","1.9282","1.9558","2.1021","1.8883","996.05K","-1.39%"
"Feb 23, 2021","1.9553","1.8556","2.1424","1.8442","4.35M","5.37%"
"Feb 22, 2021","1.8556","1.7928","1.8562","1.7820","2.33M","3.50%"
"Feb 21, 2021","1.7928","1.7610","1.8209","1.7540","794.98K","1.81%"
"Feb 20, 2021","1.7608","1.6857","1.7869","1.6798","1.28M","4.46%"
"Feb 19, 2021","1.6857","1.4799","1.6907","1.4750","9.37M","13.91%"
"Feb 18, 2021","1.4799","1.4749","1.4815","1.4736","240.94K","0.34%"
"Feb 17, 2021","1.4749","1.4798","1.4811","1.4738","383.44K","-0.36%"
"Feb 16, 2021","1.4801","1.4781","1.4814","1.4687","406.62K","0.14%"
"Feb 15, 2021","1.4781","1.4759","1.4794","1.4707","332.36K","0.15%"
"Feb 14, 2021","1.4760","1.4754","1.4799","1.4731","421.42K","0.04%"
"Feb 13, 2021","1.4754","1.4603","1.4761","1.4593","1.38M","1.04%"
"Feb 12, 2021","1.4603","1.4594","1.4623","1.4482","386.98K","0.07%"
"Feb 11, 2021","1.4593","1.4592","1.4618","1.4399","470.67K","0.01%"
"Feb 10, 2021","1.4592","1.4492","1.4595","1.4482","921.79K","0.66%"
"Feb 09, 2021","1.4496","1.4384","1.4498","1.4365","806.19K","0.78%"
"Feb 08, 2021","1.4384","1.4137","1.4404","1.4090","1.88M","1.75%"
"Feb 07, 2021","1.4137","1.4120","1.4177","1.4090","236.53K","0.13%"
"Feb 06, 2021","1.4118","1.4110","1.4143","1.4068","454.93K","0.06%"
"Feb 05, 2021","1.4110","1.3975","1.4129","1.3953","833.11K","0.97%"
"Feb 04, 2021","1.3975","1.4034","1.4061","1.3970","320.72K","-0.44%"
"Feb 03, 2021","1.4036","1.4042","1.4054","1.3871","326.91K","-0.04%"
"Feb 02, 2021","1.4042","1.4044","1.4054","1.3841","452.32K","-0.01%"
"Feb 01, 2021","1.4044","1.4027","1.4046","1.4015","361.77K","0.12%"
"Jan 31, 2021","1.4027","1.4003","1.4032","1.3957","366.61K","0.18%"
"Jan 30, 2021","1.4001","1.3989","1.4024","1.3938","442.64K","0.09%"
"Jan 29, 2021","1.3989","1.3952","1.3991","1.3770","486.26K","0.28%"
"Jan 28, 2021","1.3950","1.3883","1.3964","1.3716","194.57K","0.47%"
"Jan 27, 2021","1.3884","1.3820","1.3968","1.3737","266.41K","0.47%"
"Jan 26, 2021","1.3820","1.3730","1.3964","1.3718","193.14K","0.65%"
"Jan 25, 2021","1.3730","1.3883","1.3967","1.3721","232.77K","-1.10%"
"Jan 24, 2021","1.3883","1.3965","1.3985","1.3651","245.78K","-0.59%"
"Jan 23, 2021","1.3965","1.3736","1.3980","1.3698","170.50K","1.66%"
"Jan 22, 2021","1.3737","1.3876","1.3958","1.3675","245.64K","-1.00%"
"Jan 21, 2021","1.3876","1.3967","1.3979","1.3741","1.20M","-0.66%"
"Jan 20, 2021","1.3967","1.3957","1.3976","1.3866","207.31K","0.08%"
"Jan 19, 2021","1.3957","1.3947","1.3968","1.3750","686.02K","0.07%"
"Jan 18, 2021","1.3947","1.3933","1.3969","1.3822","171.31K","0.08%"
"Jan 17, 2021","1.3936","1.3946","1.3960","1.3856","148.93K","-0.07%"
"Jan 16, 2021","1.3946","1.3926","1.3967","1.3748","288.19K","0.14%"
"Jan 15, 2021","1.3926","1.3936","1.3993","1.3769","228.80K","-0.07%"
"Jan 14, 2021","1.3936","1.3888","1.3954","1.3808","239.30K","0.34%"
"Jan 13, 2021","1.3888","1.3828","1.3904","1.3787","172.94K","0.45%"
"Jan 12, 2021","1.3826","1.3793","1.3903","1.3624","312.58K","0.24%"
"Jan 11, 2021","1.3792","1.3848","1.3923","1.3666","566.62K","-0.41%"
"Jan 10, 2021","1.3849","1.3864","1.3950","1.3559","785.54K","-0.11%"
"Jan 09, 2021","1.3864","1.3707","1.3865","1.3595","561.49K","1.10%"
"Jan 08, 2021","1.3713","1.3674","1.3736","1.3433","332.74K","0.29%"
"Jan 07, 2021","1.3674","1.3798","1.3867","1.3465","364.82K","-0.89%"
"Jan 06, 2021","1.3797","1.3292","1.3872","1.3263","373.90K","3.80%"
"Jan 05, 2021","1.3292","1.3352","1.3712","1.3239","551.38K","-0.45%"
"Jan 04, 2021","1.3352","1.3954","1.3965","1.3351","817.19K","-4.32%"
