"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","1.0000","0.9999","1.0005","0.9996","117.26M","0.02%"
"Jun 30, 2021","0.9998","0.9999","1.0002","0.9995","143.53M","-0.01%"
"Jun 29, 2021","0.9999","0.9999","1.0003","0.9992","176.72M","0.00%"
"Jun 28, 2021","0.9999","0.9999","1.0002","0.9994","131.74M","0.00%"
"Jun 27, 2021","0.9999","1.0001","1.0002","0.9994","94.06M","-0.03%"
"Jun 26, 2021","1.0001","1.0000","1.0004","0.9997","120.99M","0.02%"
"Jun 25, 2021","1.0000","1.0001","1.0005","0.9999","112.97M","-0.01%"
"Jun 24, 2021","1.0001","0.9998","1.0003","0.9996","105.63M","0.03%"
"Jun 23, 2021","0.9998","0.9998","1.0000","0.9993","147.99M","0.00%"
"Jun 22, 2021","0.9998","1.0000","1.0008","0.9996","274.32M","-0.03%"
"Jun 21, 2021","1.0001","1.0001","1.0007","0.9994","291.95M","0.00%"
"Jun 20, 2021","1.0001","0.9997","1.0007","0.9992","132.30M","0.04%"
"Jun 19, 2021","0.9997","0.9997","1.0000","0.9990","121.06M","0.00%"
"Jun 18, 2021","0.9997","1.0000","1.0002","0.9992","113.94M","-0.03%"
"Jun 17, 2021","1.0000","1.0002","1.0004","0.9996","126.64M","-0.02%"
"Jun 16, 2021","1.0002","1.0000","1.0004","0.9997","130.72M","0.02%"
"Jun 15, 2021","1.0000","0.9999","1.0005","0.9993","155.25M","0.01%"
"Jun 14, 2021","0.9999","0.9999","1.0003","0.9994","142.77M","0.00%"
"Jun 13, 2021","0.9999","1.0000","1.0010","0.9995","102.48M","-0.01%"
"Jun 12, 2021","1.0000","1.0001","1.0002","0.9994","109.52M","-0.01%"
"Jun 11, 2021","1.0001","0.9994","1.0002","0.9989","112.00M","0.07%"
"Jun 10, 2021","0.9994","0.9993","0.9997","0.9990","121.55M","0.00%"
"Jun 09, 2021","0.9993","0.9993","1.0000","0.9991","179.97M","0.00%"
"Jun 08, 2021","0.9993","0.9997","1.0000","0.9991","219.79M","-0.04%"
"Jun 07, 2021","0.9997","0.9998","1.0002","0.9992","141.99M","-0.01%"
"Jun 06, 2021","0.9998","0.9998","1.0000","0.9993","82.19M","0.00%"
"Jun 05, 2021","0.9998","0.9995","1.0001","0.9992","95.73M","0.03%"
"Jun 04, 2021","0.9995","0.9999","0.9999","0.9991","174.14M","-0.04%"
"Jun 03, 2021","0.9999","0.9999","1.0003","0.9993","119.85M","0.00%"
"Jun 02, 2021","0.9999","0.9999","1.0003","0.9997","116.85M","0.00%"
"Jun 01, 2021","0.9999","0.9998","1.0003","0.9994","132.94M","0.01%"
"May 31, 2021","0.9998","0.9994","0.9998","0.9989","167.23M","0.04%"
"May 30, 2021","0.9994","0.9995","0.9999","0.9988","181.47M","-0.01%"
"May 29, 2021","0.9995","0.9995","1.0000","0.9992","152.07M","0.00%"
"May 28, 2021","0.9995","0.9991","0.9998","0.9988","199.72M","0.04%"
"May 27, 2021","0.9991","0.9986","0.9993","0.9983","117.37M","0.05%"
"May 26, 2021","0.9986","0.9988","0.9991","0.9982","169.00M","-0.02%"
"May 25, 2021","0.9989","0.9989","0.9990","0.9980","209.53M","0.00%"
"May 24, 2021","0.9989","0.9987","0.9992","0.9982","338.15M","0.02%"
"May 23, 2021","0.9987","0.9991","1.0008","0.9984","456.23M","-0.04%"
"May 22, 2021","0.9991","0.9988","0.9996","0.9984","288.88M","0.03%"
"May 21, 2021","0.9987","0.9978","1.0014","0.9976","481.17M","0.09%"
"May 20, 2021","0.9978","0.9984","0.9998","0.9975","443.22M","-0.06%"
"May 19, 2021","0.9984","0.9994","1.0049","0.9958","829.66M","-0.10%"
"May 18, 2021","0.9994","0.9999","1.0000","0.9987","222.43M","-0.05%"
"May 17, 2021","0.9999","0.9997","1.0024","0.9988","364.20M","0.02%"
"May 16, 2021","0.9997","0.9997","1.0023","0.9993","284.57M","-0.01%"
"May 15, 2021","0.9998","0.9990","0.9998","0.9987","227.02M","0.08%"
"May 14, 2021","0.9990","0.9999","1.0004","0.9980","277.24M","-0.09%"
"May 13, 2021","0.9999","1.0001","1.0015","0.9982","393.26M","-0.01%"
"May 12, 2021","1.0000","0.9987","1.0004","0.9981","290.45M","0.13%"
"May 11, 2021","0.9987","0.9990","0.9995","0.9981","193.24M","-0.03%"
"May 10, 2021","0.9990","0.9987","0.9998","0.9980","290.24M","0.03%"
"May 09, 2021","0.9987","0.9987","1.0018","0.9981","381.41M","0.00%"
"May 08, 2021","0.9987","0.9991","0.9991","0.9978","193.41M","-0.04%"
"May 07, 2021","0.9991","0.9992","0.9998","0.9983","237.85M","-0.01%"
"May 06, 2021","0.9992","0.9988","0.9996","0.9984","228.31M","0.04%"
"May 05, 2021","0.9988","0.9995","0.9999","0.9986","214.91M","-0.07%"
"May 04, 2021","0.9995","0.9992","0.9998","0.9990","243.37M","0.03%"
"May 03, 2021","0.9992","0.9992","1.0007","0.9990","209.96M","0.00%"
"May 02, 2021","0.9992","0.9991","0.9997","0.9990","93.19M","0.01%"
"May 01, 2021","0.9991","0.9988","0.9996","0.9985","112.81M","0.03%"
"Apr 30, 2021","0.9988","0.9994","0.9995","0.9986","146.37M","-0.06%"
"Apr 29, 2021","0.9994","0.9991","0.9998","0.9989","155.72M","0.03%"
"Apr 28, 2021","0.9991","0.9988","0.9997","0.9984","167.11M","0.03%"
"Apr 27, 2021","0.9988","0.9992","0.9993","0.9983","156.83M","-0.04%"
"Apr 26, 2021","0.9992","0.9989","0.9995","0.9983","161.00M","0.03%"
"Apr 25, 2021","0.9989","0.9988","0.9997","0.9982","112.51M","0.01%"
"Apr 24, 2021","0.9988","0.9991","0.9996","0.9983","109.96M","-0.03%"
"Apr 23, 2021","0.9991","0.9998","1.0014","0.9985","364.54M","-0.08%"
"Apr 22, 2021","0.9998","0.9995","1.0004","0.9990","240.33M","0.03%"
"Apr 21, 2021","0.9995","0.9989","0.9998","0.9950","194.64M","0.06%"
"Apr 20, 2021","0.9989","0.9989","0.9999","0.9847","231.27M","0.00%"
"Apr 19, 2021","0.9989","0.9980","0.9997","0.9855","232.53M","0.09%"
"Apr 18, 2021","0.9980","0.9991","1.0000","0.9911","352.39M","-0.12%"
"Apr 17, 2021","0.9992","0.9988","1.0000","0.9985","224.04M","0.04%"
"Apr 16, 2021","0.9988","0.9992","0.9999","0.9971","375.73M","-0.04%"
"Apr 15, 2021","0.9992","1.0000","1.0006","0.9988","211.33M","-0.08%"
"Apr 14, 2021","1.0000","0.9999","1.0005","0.9994","241.16M","0.01%"
"Apr 13, 2021","0.9999","1.0006","1.0008","0.9996","204.06M","-0.07%"
"Apr 12, 2021","1.0006","1.0008","1.0010","1.0001","153.54M","-0.02%"
"Apr 11, 2021","1.0008","1.0003","1.0011","1.0002","98.39M","0.05%"
"Apr 10, 2021","1.0003","1.0004","1.0010","1.0000","128.74M","-0.01%"
"Apr 09, 2021","1.0004","1.0002","1.0005","0.9999","103.85M","0.02%"
"Apr 08, 2021","1.0002","1.0004","1.0007","0.9999","144.08M","-0.02%"
"Apr 07, 2021","1.0004","1.0000","1.0007","0.9998","174.30M","0.04%"
"Apr 06, 2021","1.0000","0.9999","1.0024","0.9994","158.84M","0.01%"
"Apr 05, 2021","0.9999","0.9998","1.0003","0.9996","145.37M","0.01%"
"Apr 04, 2021","0.9998","0.9997","1.0000","0.9976","104.94M","0.01%"
"Apr 03, 2021","0.9997","0.9999","1.0006","0.9996","120.31M","-0.02%"
"Apr 02, 2021","0.9999","1.0001","1.0007","0.9996","172.34M","-0.02%"
"Apr 01, 2021","1.0001","0.9996","1.0005","0.9994","162.05M","0.04%"
"Mar 31, 2021","0.9996","0.9998","1.0001","0.9995","139.19M","-0.01%"
"Mar 30, 2021","0.9998","1.0002","1.0006","0.9995","148.74M","-0.03%"
"Mar 29, 2021","1.0001","1.0003","1.0005","0.9999","178.69M","-0.01%"
"Mar 28, 2021","1.0002","0.9998","1.0003","0.9997","83.23M","0.04%"
"Mar 27, 2021","0.9998","0.9994","1.0001","0.9993","89.40M","0.04%"
"Mar 26, 2021","0.9994","0.9997","1.0001","0.9993","169.71M","-0.03%"
"Mar 25, 2021","0.9997","1.0002","1.0008","0.9996","173.51M","-0.05%"
"Mar 24, 2021","1.0002","0.9998","1.0008","0.9997","206.69M","0.04%"
"Mar 23, 2021","0.9998","0.9997","1.0001","0.9994","120.20M","0.01%"
"Mar 22, 2021","0.9997","0.9997","1.0002","0.9993","143.29M","0.00%"
"Mar 21, 2021","0.9997","0.9998","1.0002","0.9992","95.72M","-0.01%"
"Mar 20, 2021","0.9998","0.9998","1.0002","0.9994","92.52M","0.00%"
"Mar 19, 2021","0.9998","1.0002","1.0005","0.9996","118.84M","-0.03%"
"Mar 18, 2021","1.0002","0.9996","1.0003","0.9996","114.66M","0.06%"
"Mar 17, 2021","0.9996","0.9998","1.0003","0.9993","145.43M","-0.02%"
"Mar 16, 2021","0.9998","1.0000","1.0009","0.9996","168.16M","-0.02%"
"Mar 15, 2021","1.0000","1.0000","1.0007","0.9995","173.88M","0.00%"
"Mar 14, 2021","1.0000","1.0003","1.0006","0.9997","105.16M","-0.03%"
"Mar 13, 2021","1.0003","1.0000","1.0011","0.9998","142.39M","0.04%"
"Mar 12, 2021","1.0000","0.9999","1.0006","0.9996","159.63M","0.00%"
"Mar 11, 2021","0.9999","0.9998","1.0006","0.9995","181.76M","0.01%"
"Mar 10, 2021","0.9998","0.9997","1.0004","0.9993","160.22M","0.02%"
"Mar 09, 2021","0.9996","0.9996","1.0002","0.9992","158.18M","0.00%"
"Mar 08, 2021","0.9996","0.9993","1.0000","0.9991","124.69M","0.03%"
"Mar 07, 2021","0.9993","0.9995","1.0003","0.9992","104.95M","-0.02%"
"Mar 06, 2021","0.9995","0.9998","1.0005","0.9994","107.05M","-0.03%"
"Mar 05, 2021","0.9998","1.0001","1.0005","0.9995","105.39M","-0.03%"
"Mar 04, 2021","1.0001","0.9996","1.0007","0.9991","208.18M","0.05%"
"Mar 03, 2021","0.9996","0.9990","1.0001","0.9987","128.42M","0.05%"
"Mar 02, 2021","0.9990","0.9990","0.9998","0.9987","140.13M","0.01%"
"Mar 01, 2021","0.9990","0.9981","0.9999","0.9977","189.23M","0.09%"
"Feb 28, 2021","0.9981","0.9992","1.0001","0.9974","154.26M","-0.07%"
"Feb 27, 2021","0.9989","0.9998","1.0004","0.9989","114.32M","-0.09%"
"Feb 26, 2021","0.9998","1.0001","1.0005","0.9992","199.71M","-0.03%"
"Feb 25, 2021","1.0001","0.9995","1.0004","0.9989","186.96M","0.06%"
"Feb 24, 2021","0.9995","1.0004","1.0007","0.9992","307.52M","-0.09%"
"Feb 23, 2021","1.0004","0.9999","1.0031","0.9995","407.99M","0.05%"
"Feb 22, 2021","0.9999","0.9992","1.0019","0.9988","334.54M","0.07%"
