"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","2.39","2.52","2.53","2.26","-","-5.03%"
"Jun 30, 2021","2.52","2.37","2.61","2.24","-","6.50%"
"Jun 29, 2021","2.37","2.37","2.43","2.18","-","0.00%"
"Jun 28, 2021","2.37","2.26","2.39","2.18","-","4.97%"
"Jun 27, 2021","2.26","2.15","2.26","2.04","-","5.06%"
"Jun 26, 2021","2.15","2.10","2.15","1.94","-","2.18%"
"Jun 25, 2021","2.10","2.36","2.41","2.09","-","-11.02%"
"Jun 24, 2021","2.36","2.06","2.49","1.98","-","14.78%"
"Jun 23, 2021","2.06","1.92","2.14","1.81","-","6.97%"
"Jun 22, 2021","1.92","1.88","2.09","1.64","-","2.44%"
"Jun 21, 2021","1.88","2.26","2.26","1.86","-","-16.83%"
"Jun 20, 2021","2.26","2.22","2.30","2.07","-","1.87%"
"Jun 19, 2021","2.22","2.27","2.36","2.20","-","-2.11%"
"Jun 18, 2021","2.27","2.42","2.45","2.17","-","-6.52%"
"Jun 17, 2021","2.42","2.47","2.54","2.34","-","-1.74%"
"Jun 16, 2021","2.47","2.52","2.53","2.40","-","-2.11%"
"Jun 15, 2021","2.52","2.49","2.56","2.41","-","1.16%"
"Jun 14, 2021","2.49","2.54","2.63","2.42","-","-1.90%"
"Jun 13, 2021","2.54","2.21","2.60","2.11","-","14.75%"
"Jun 12, 2021","2.21","2.28","2.29","2.13","-","-2.96%"
"Jun 11, 2021","2.28","2.38","2.43","2.20","-","-4.41%"
"Jun 10, 2021","2.38","2.70","2.76","2.33","-","-11.58%"
"Jun 09, 2021","2.70","2.44","2.71","2.26","-","10.56%"
"Jun 08, 2021","2.44","2.37","2.50","2.13","-","2.78%"
"Jun 07, 2021","2.37","2.75","2.86","2.34","-","-13.69%"
"Jun 06, 2021","2.75","2.55","2.83","2.54","-","7.96%"
"Jun 05, 2021","2.55","2.67","2.78","2.47","-","-4.71%"
"Jun 04, 2021","2.67","2.96","2.97","2.53","-","-9.68%"
"Jun 03, 2021","2.96","2.93","3.26","2.81","-","0.86%"
"Jun 02, 2021","2.93","2.47","3.03","2.44","-","18.73%"
"Jun 01, 2021","2.47","2.53","2.62","2.40","-","-2.20%"
"May 31, 2021","2.53","2.32","2.63","2.24","-","8.77%"
"May 30, 2021","2.32","2.21","2.47","2.06","-","5.34%"
"May 29, 2021","2.21","2.23","2.43","2.03","-","-1.29%"
"May 28, 2021","2.23","2.54","2.61","2.14","-","-12.00%"
"May 27, 2021","2.54","2.61","2.68","2.41","-","-2.70%"
"May 26, 2021","2.61","2.54","2.72","2.42","-","2.56%"
"May 25, 2021","2.54","2.57","3.00","2.48","-","-0.81%"
"May 24, 2021","2.57","2.13","2.57","2.03","-","20.71%"
"May 23, 2021","2.13","2.44","2.55","1.71","-","-12.94%"
"May 22, 2021","2.44","2.41","2.59","2.11","-","1.49%"
"May 21, 2021","2.41","2.83","3.00","2.01","-","-15.08%"
"May 20, 2021","2.83","2.73","3.14","2.38","-","3.90%"
"May 19, 2021","2.73","3.33","3.40","1.57","-","-18.26%"
"May 18, 2021","3.33","3.23","3.60","3.19","-","3.39%"
"May 17, 2021","3.23","3.53","3.53","3.03","-","-8.64%"
"May 16, 2021","3.53","3.50","3.72","3.14","-","0.83%"
"May 15, 2021","3.50","3.67","3.84","3.46","-","-4.65%"
"May 14, 2021","3.67","3.55","3.88","3.55","-","3.39%"
"May 13, 2021","3.55","3.26","3.96","3.12","-","8.96%"
"May 12, 2021","3.26","4.01","4.14","3.26","-","-18.78%"
"May 11, 2021","4.01","3.88","4.19","3.79","-","3.41%"
