"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.0884","0.0868","0.0962","0.0833","47.82K","1.86%"
"Jun 30, 2021","0.0868","0.0918","0.1085","0.0848","7.28K","-5.49%"
"Jun 29, 2021","0.0918","0.0800","0.0947","0.0800","48.73K","14.76%"
"Jun 28, 2021","0.0800","0.0930","0.0954","0.0800","9.05K","-13.98%"
"Jun 27, 2021","0.0930","0.0915","0.0960","0.0800","18.48K","1.64%"
"Jun 26, 2021","0.0915","0.0920","0.0939","0.0881","12.86K","-0.53%"
"Jun 25, 2021","0.0920","0.0959","0.0962","0.0917","52.51K","-4.08%"
"Jun 24, 2021","0.0959","0.0930","0.0987","0.0876","64.31K","3.08%"
"Jun 23, 2021","0.0930","0.0873","0.0968","0.0860","84.18K","6.54%"
"Jun 22, 2021","0.0873","0.1069","0.1113","0.0831","195.85K","-18.31%"
"Jun 21, 2021","0.1069","0.1163","0.1163","0.1050","90.84K","-8.07%"
"Jun 20, 2021","0.1163","0.1252","0.1271","0.1143","22.79K","-7.12%"
"Jun 19, 2021","0.1252","0.1074","0.1280","0.1067","53.11K","16.54%"
"Jun 18, 2021","0.1074","0.1122","0.1163","0.1055","95.92K","-4.26%"
"Jun 17, 2021","0.1122","0.1328","0.1350","0.1122","17.08K","-15.53%"
"Jun 16, 2021","0.1328","0.1157","0.1442","0.1157","7.73K","14.85%"
"Jun 15, 2021","0.1157","0.1098","0.1161","0.1095","18.29K","5.35%"
"Jun 14, 2021","0.1098","0.1167","0.1167","0.1098","122.89K","-5.91%"
"Jun 13, 2021","0.1167","0.1418","0.1418","0.1106","74.14K","-17.72%"
"Jun 12, 2021","0.1418","0.1290","0.1418","0.1070","1.76K","9.90%"
"Jun 11, 2021","0.1290","0.1271","0.1437","0.1271","8.06K","1.53%"
"Jun 10, 2021","0.1271","0.1384","0.1384","0.1267","67.41K","-8.20%"
"Jun 09, 2021","0.1384","0.1152","0.1408","0.1140","43.45K","20.14%"
"Jun 08, 2021","0.1152","0.1201","0.1201","0.1135","119.14K","-4.05%"
"Jun 07, 2021","0.1201","0.1309","0.1371","0.1201","94.72K","-8.21%"
"Jun 06, 2021","0.1309","0.1202","0.1494","0.1202","17.08K","8.85%"
"Jun 05, 2021","0.1202","0.1250","0.1299","0.1202","47.04K","-3.80%"
"Jun 04, 2021","0.1250","0.1164","0.1258","0.1147","95.03K","7.40%"
"Jun 03, 2021","0.1164","0.1034","0.1167","0.1027","86.60K","12.51%"
"Jun 02, 2021","0.1034","0.1067","0.1122","0.1026","8.32K","-3.04%"
"Jun 01, 2021","0.1067","0.1249","0.1421","0.1059","63.14K","-14.63%"
"May 31, 2021","0.1249","0.0980","0.1252","0.0973","74.06K","27.53%"
"May 30, 2021","0.0980","0.1014","0.1024","0.0973","40.65K","-3.38%"
"May 29, 2021","0.1014","0.1080","0.1096","0.0967","31.44K","-6.14%"
"May 28, 2021","0.1080","0.1159","0.1320","0.1080","47.90K","-6.79%"
"May 27, 2021","0.1159","0.1217","0.1236","0.1122","34.23K","-4.81%"
"May 26, 2021","0.1217","0.1148","0.1221","0.1110","29.05K","6.03%"
"May 25, 2021","0.1148","0.1197","0.1251","0.1143","48.93K","-4.09%"
"May 24, 2021","0.1197","0.0975","0.1248","0.0964","82.40K","22.75%"
"May 23, 2021","0.0975","0.1283","0.1283","0.0941","78.69K","-23.98%"
"May 22, 2021","0.1283","0.1132","0.1374","0.1107","158.70K","13.31%"
"May 21, 2021","0.1132","0.1230","0.1361","0.1095","54.47K","-7.95%"
"May 20, 2021","0.1230","0.1254","0.1258","0.1119","122.09K","-2.80%"
"May 19, 2021","0.1265","0.1461","0.1461","0.0820","358.48K","-13.42%"
"May 18, 2021","0.1461","0.1555","0.1570","0.1036","184.80K","-6.01%"
"May 17, 2021","0.1555","0.1598","0.1678","0.1518","54.63K","-2.69%"
"May 16, 2021","0.1598","0.1747","0.1818","0.1518","88.53K","-8.58%"
"May 15, 2021","0.1747","0.1939","0.1964","0.1739","32.59K","-9.88%"
"May 14, 2021","0.1939","0.1855","0.2043","0.1793","56.25K","4.54%"
"May 13, 2021","0.1855","0.1881","0.2023","0.1607","254.88K","-1.38%"
"May 12, 2021","0.1881","0.1894","0.2051","0.1805","138.99K","-0.70%"
"May 11, 2021","0.1894","0.2090","0.2169","0.1813","127.49K","-9.37%"
"May 10, 2021","0.2090","0.1995","0.2205","0.1954","96.43K","4.74%"
"May 09, 2021","0.1996","0.2209","0.2394","0.1827","90.31K","-9.65%"
"May 08, 2021","0.2209","0.1954","0.2263","0.1953","164.45K","13.05%"
"May 07, 2021","0.1954","0.2350","0.2350","0.1713","255.15K","-16.86%"
