"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","15.8981","16.3257","16.3257","14.9863","2.79M","-2.63%"
"Jun 30, 2021","16.3277","15.3515","17.6427","15.0591","6.41M","6.36%"
"Jun 29, 2021","15.3515","14.1141","15.8542","14.0793","1.86M","8.78%"
"Jun 28, 2021","14.1131","13.8707","14.2869","13.5549","1.68M","1.75%"
"Jun 27, 2021","13.8707","13.5418","13.8707","13.1699","1.32M","2.47%"
"Jun 26, 2021","13.5361","13.0116","13.8693","12.8546","3.21M","4.03%"
"Jun 25, 2021","13.0116","13.5292","14.3292","12.5490","6.65M","-3.83%"
"Jun 24, 2021","13.5292","13.0910","13.5368","12.5199","3.34M","3.34%"
"Jun 23, 2021","13.0917","12.4698","13.6890","11.9808","4.28M","4.99%"
"Jun 22, 2021","12.4698","13.9959","14.5758","11.5074","5.78M","-10.90%"
"Jun 21, 2021","13.9959","17.7039","17.7990","13.8305","3.87M","-20.94%"
"Jun 20, 2021","17.7036","15.8708","18.3106","15.6711","5.56M","11.55%"
"Jun 19, 2021","15.8708","16.3738","16.6338","15.5166","1.61M","-3.07%"
"Jun 18, 2021","16.3738","18.3456","18.3501","15.7574","3.31M","-10.75%"
"Jun 17, 2021","18.3456","16.9159","18.8915","16.8287","4.51M","8.45%"
"Jun 16, 2021","16.9159","16.5888","17.4450","16.1397","4.23M","1.97%"
"Jun 15, 2021","16.5888","15.6766","16.8323","15.4260","2.69M","5.82%"
"Jun 14, 2021","15.6766","15.1785","16.1505","14.8669","3.26M","3.28%"
"Jun 13, 2021","15.1785","14.6225","15.3400","14.1242","2.17M","3.94%"
"Jun 12, 2021","14.6026","14.0168","15.4541","13.2988","5.03M","4.18%"
"Jun 11, 2021","14.0168","14.0167","15.2250","13.6750","3.35M","0.13%"
"Jun 10, 2021","13.9981","14.5684","14.6071","13.7777","1.76M","-3.91%"
"Jun 09, 2021","14.5678","14.4501","14.5864","13.4755","2.82M","0.81%"
"Jun 08, 2021","14.4501","14.1915","14.5358","12.8763","4.80M","1.82%"
"Jun 07, 2021","14.1915","16.3662","16.5608","14.0463","4.21M","-13.29%"
"Jun 06, 2021","16.3667","14.1173","16.5181","13.9576","9.32M","15.93%"
"Jun 05, 2021","14.1173","13.8745","15.4496","13.6796","4.45M","1.75%"
"Jun 04, 2021","13.8745","15.3173","15.3174","13.1656","3.12M","-9.42%"
"Jun 03, 2021","15.3173","14.7334","15.6512","14.2553","3.94M","3.96%"
"Jun 02, 2021","14.7338","13.2121","15.4459","12.8461","5.99M","11.52%"
"Jun 01, 2021","13.2121","13.9081","13.9081","12.7573","2.62M","-5.00%"
"May 31, 2021","13.9080","13.1554","13.9080","12.1808","3.33M","5.74%"
"May 30, 2021","13.1536","13.1132","13.4225","12.0776","3.17M","0.31%"
"May 29, 2021","13.1132","14.0307","14.3305","12.3905","2.70M","-6.56%"
"May 28, 2021","14.0332","16.4412","16.4594","13.4833","3.81M","-14.65%"
"May 27, 2021","16.4411","17.3162","17.3974","15.5396","2.94M","-5.06%"
"May 26, 2021","17.3168","16.1520","17.3168","15.2323","7.68M","8.08%"
"May 25, 2021","16.0220","17.4110","17.8379","13.8987","13.12M","-7.98%"
"May 24, 2021","17.4110","14.8335","17.4632","14.1682","7.13M","17.29%"
"May 23, 2021","14.8447","17.9824","18.5283","12.0612","5.52M","-17.45%"
"May 22, 2021","17.9825","20.4768","20.4821","17.4978","3.74M","-12.18%"
"May 21, 2021","20.4768","24.1717","25.6035","17.9543","5.24M","-15.29%"
"May 20, 2021","24.1717","18.4154","27.9570","18.4154","10.63M","31.26%"
