"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.0879","0.0807","0.0908","0.0804","-","9.03%"
"Jun 30, 2021","0.0806","0.0783","0.0810","0.0701","-","3.12%"
"Jun 29, 2021","0.0782","0.0721","0.0795","0.0718","-","8.63%"
"Jun 28, 2021","0.0720","0.0684","0.0721","0.0679","-","5.55%"
"Jun 27, 2021","0.0682","0.0567","0.0691","0.0564","-","20.39%"
"Jun 26, 2021","0.0566","0.0538","0.0566","0.0528","-","5.33%"
"Jun 25, 2021","0.0538","0.0582","0.0586","0.0525","-","-7.28%"
"Jun 24, 2021","0.0580","0.0563","0.0586","0.0543","-","2.67%"
"Jun 23, 2021","0.0565","0.0530","0.0583","0.0523","-","6.39%"
"Jun 22, 2021","0.0531","0.0592","0.0611","0.0460","-","-10.08%"
"Jun 21, 2021","0.0590","0.0730","0.0732","0.0590","-","-19.13%"
"Jun 20, 2021","0.0730","0.0722","0.0733","0.0665","-","0.08%"
"Jun 19, 2021","0.0729","0.0705","0.0736","0.0647","-","3.60%"
"Jun 18, 2021","0.0704","0.0741","0.0803","0.0641","-","-6.55%"
"Jun 17, 2021","0.0753","0.0543","0.0767","0.0543","-","38.63%"
"Jun 16, 2021","0.0543","0.0533","0.0546","0.0519","-","2.15%"
"Jun 15, 2021","0.0532","0.0538","0.0552","0.0531","-","-1.18%"
"Jun 14, 2021","0.0538","0.0531","0.0541","0.0526","-","1.74%"
"Jun 13, 2021","0.0529","0.0499","0.0530","0.0487","-","5.74%"
"Jun 12, 2021","0.0501","0.0480","0.0505","0.0451","-","4.12%"
"Jun 11, 2021","0.0481","0.0498","0.0498","0.0480","-","-3.50%"
"Jun 10, 2021","0.0498","0.0522","0.0522","0.0497","-","-4.38%"
"Jun 09, 2021","0.0521","0.0489","0.0522","0.0479","-","6.22%"
"Jun 08, 2021","0.0490","0.0503","0.0507","0.0462","-","-2.93%"
"Jun 07, 2021","0.0505","0.0536","0.0547","0.0504","-","-5.63%"
"Jun 06, 2021","0.0535","0.0529","0.0541","0.0526","-","1.63%"
"Jun 05, 2021","0.0527","0.0548","0.0559","0.0525","-","-3.86%"
"Jun 04, 2021","0.0548","0.0588","0.0589","0.0529","-","-6.66%"
"Jun 03, 2021","0.0587","0.0579","0.0593","0.0577","-","1.33%"
"Jun 02, 2021","0.0579","0.0573","0.0582","0.0557","-","1.31%"
"Jun 01, 2021","0.0572","0.0568","0.0603","0.0563","-","0.90%"
"May 31, 2021","0.0567","0.0540","0.0572","0.0522","-","5.46%"
"May 30, 2021","0.0537","0.0481","0.0537","0.0477","-","11.59%"
"May 29, 2021","0.0482","0.0504","0.0516","0.0476","-","-4.32%"
"May 28, 2021","0.0503","0.0571","0.0589","0.0500","-","-12.05%"
"May 27, 2021","0.0572","0.0546","0.0573","0.0515","-","4.98%"
"May 26, 2021","0.0545","0.0524","0.0546","0.0521","-","4.10%"
"May 25, 2021","0.0524","0.0536","0.0565","0.0499","-","-2.10%"
"May 24, 2021","0.0535","0.0466","0.0545","0.0465","-","15.36%"
"May 23, 2021","0.0464","0.0545","0.0555","0.0416","-","-14.92%"
"May 22, 2021","0.0545","0.0573","0.0598","0.0421","-","-4.86%"
"May 21, 2021","0.0573","0.0631","0.0653","0.0529","-","-9.47%"
"May 20, 2021","0.0633","0.0561","0.0690","0.0513","-","14.03%"
"May 19, 2021","0.0555","0.0711","0.0714","0.0490","-","-21.96%"
"May 18, 2021","0.0711","0.0708","0.0766","0.0693","-","0.47%"
"May 17, 2021","0.0708","0.0776","0.0777","0.0688","-","-8.92%"
"May 16, 2021","0.0777","0.0776","0.0841","0.0758","-","0.13%"
"May 15, 2021","0.0776","0.0794","0.0807","0.0764","-","-2.27%"
"May 14, 2021","0.0794","0.0768","0.0829","0.0767","-","3.21%"
"May 13, 2021","0.0769","0.0760","0.0795","0.0744","-","-1.33%"
"May 12, 2021","0.0780","0.0151","0.0888","0.0150","-","418.10%"
"May 11, 2021","0.0150","0.0142","0.0151","0.0136","-","5.46%"
"May 10, 2021","0.0143","0.0142","0.0152","0.0133","-","0.64%"
"May 09, 2021","0.0142","0.0141","0.0144","0.0135","-","0.65%"
"May 08, 2021","0.0141","0.0126","0.0143","0.0125","-","12.08%"
"May 07, 2021","0.0126","0.0126","0.0129","0.0121","-","0.00%"
"May 06, 2021","0.0126","0.0127","0.0130","0.0122","-","-0.97%"
"May 05, 2021","0.0127","0.0118","0.0128","0.0116","-","6.73%"
"May 04, 2021","0.0119","0.0124","0.0127","0.0115","-","-3.63%"
"May 03, 2021","0.0124","0.0107","0.0125","0.0107","-","16.03%"
"May 02, 2021","0.0107","0.0106","0.0108","0.0103","-","0.00%"
"May 01, 2021","0.0106","0.0100","0.0107","0.0099","-","6.22%"
"Apr 30, 2021","0.0100","0.0099","0.0101","0.0098","-","0.59%"
"Apr 29, 2021","0.0099","0.0099","0.0101","0.0096","-","0.00%"
"Apr 28, 2021","0.0099","0.0096","0.0100","0.0093","-","3.18%"
"Apr 27, 2021","0.0096","0.0091","0.0096","0.0090","-","4.84%"
"Apr 26, 2021","0.0092","0.0084","0.0092","0.0083","-","9.65%"
"Apr 25, 2021","0.0084","0.0080","0.0085","0.0078","-","4.69%"
"Apr 24, 2021","0.0080","0.0085","0.0085","0.0078","-","-6.48%"
"Apr 23, 2021","0.0085","0.0087","0.0088","0.0076","-","-1.73%"
"Apr 22, 2021","0.0087","0.0085","0.0095","0.0084","-","1.73%"
"Apr 21, 2021","0.0085","0.0084","0.0089","0.0081","-","1.66%"
"Apr 20, 2021","0.0084","0.0078","0.0085","0.0074","-","7.30%"
"Apr 19, 2021","0.0078","0.0081","0.0082","0.0075","-","-2.99%"
"Apr 18, 2021","0.0081","0.0084","0.0084","0.0070","-","-3.50%"
"Apr 17, 2021","0.0084","0.0087","0.0090","0.0084","-","-4.44%"
"Apr 16, 2021","0.0087","0.0091","0.0092","0.0083","-","-3.67%"
"Apr 15, 2021","0.0091","0.0088","0.0092","0.0087","-","3.44%"
"Apr 14, 2021","0.0088","0.0083","0.0088","0.0082","-","5.77%"
"Apr 13, 2021","0.0083","0.0077","0.0084","0.0077","-","7.59%"
"Apr 12, 2021","0.0077","0.0077","0.0079","0.0076","-","0.00%"
"Apr 11, 2021","0.0077","0.0077","0.0078","0.0076","-","0.89%"
"Apr 10, 2021","0.0077","0.0074","0.0079","0.0074","-","3.24%"
"Apr 09, 2021","0.0074","0.0075","0.0076","0.0073","-","-0.90%"
"Apr 08, 2021","0.0075","0.0071","0.0075","0.0070","-","5.85%"
"Apr 07, 2021","0.0071","0.0076","0.0077","0.0070","-","-7.12%"
"Apr 06, 2021","0.0076","0.0076","0.0078","0.0074","-","0.00%"
"Apr 05, 2021","0.0076","0.0075","0.0077","0.0072","-","1.31%"
"Apr 04, 2021","0.0075","0.0072","0.0075","0.0072","-","3.25%"
"Apr 03, 2021","0.0073","0.0077","0.0077","0.0072","-","-5.91%"
"Apr 02, 2021","0.0077","0.0071","0.0077","0.0070","-","8.54%"
"Apr 01, 2021","0.0071","0.0070","0.0072","0.0068","-","2.61%"
"Mar 31, 2021","0.0069","0.0066","0.0070","0.0064","-","4.08%"
"Mar 30, 2021","0.0066","0.0066","0.0067","0.0065","-","1.42%"
"Mar 29, 2021","0.0066","0.0061","0.0066","0.0061","-","7.68%"
"Mar 28, 2021","0.0061","0.0062","0.0062","0.0060","-","-1.57%"
"Mar 27, 2021","0.0062","0.0061","0.0063","0.0060","-","0.85%"
"Mar 26, 2021","0.0061","0.0057","0.0061","0.0057","-","6.99%"
"Mar 25, 2021","0.0057","0.0057","0.0059","0.0056","-","0.00%"
"Mar 24, 2021","0.0057","0.0060","0.0063","0.0056","-","-5.03%"
"Mar 23, 2021","0.0060","0.0061","0.0062","0.0060","-","0.00%"
"Mar 22, 2021","0.0061","0.0064","0.0065","0.0060","-","-5.50%"
"Mar 21, 2021","0.0064","0.0065","0.0066","0.0063","-","-1.19%"
"Mar 20, 2021","0.0065","0.0065","0.0067","0.0065","-","0.00%"
"Mar 19, 2021","0.0065","0.0064","0.0066","0.0063","-","1.76%"
"Mar 18, 2021","0.0064","0.0066","0.0067","0.0064","-","-2.49%"
"Mar 17, 2021","0.0066","0.0065","0.0066","0.0063","-","0.98%"
"Mar 16, 2021","0.0065","0.0065","0.0066","0.0062","-","0.88%"
"Mar 15, 2021","0.0065","0.0067","0.0068","0.0063","-","-3.40%"
"Mar 14, 2021","0.0067","0.0069","0.0070","0.0066","-","-3.77%"
"Mar 13, 2021","0.0069","0.0064","0.0070","0.0062","-","9.00%"
"Mar 12, 2021","0.0064","0.0066","0.0066","0.0062","-","-3.09%"
"Mar 11, 2021","0.0066","0.0065","0.0067","0.0062","-","1.43%"
"Mar 10, 2021","0.0065","0.0068","0.0068","0.0064","-","-3.87%"
"Mar 09, 2021","0.0067","0.0066","0.0067","0.0065","-","2.08%"
"Mar 08, 2021","0.0066","0.0063","0.0066","0.0060","-","6.34%"
"Mar 07, 2021","0.0062","0.0060","0.0062","0.0059","-","4.51%"
"Mar 06, 2021","0.0059","0.0055","0.0060","0.0055","-","7.53%"
"Mar 05, 2021","0.0055","0.0056","0.0056","0.0052","-","0.00%"
"Mar 04, 2021","0.0056","0.0057","0.0059","0.0054","-","-2.11%"
"Mar 03, 2021","0.0057","0.0054","0.0060","0.0053","-","5.40%"
"Mar 02, 2021","0.0054","0.0057","0.0058","0.0053","-","-5.06%"
"Mar 01, 2021","0.0057","0.0051","0.0057","0.0051","-","10.83%"
"Feb 28, 2021","0.0051","0.0053","0.0053","0.0047","-","-2.81%"
"Feb 27, 2021","0.0053","0.0052","0.0055","0.0052","-","1.04%"
"Feb 26, 2021","0.0052","0.0054","0.0056","0.0051","-","-2.22%"
"Feb 25, 2021","0.0053","0.0059","0.0060","0.0053","-","-9.28%"
"Feb 24, 2021","0.0059","0.0057","0.0062","0.0054","-","3.14%"
"Feb 23, 2021","0.0057","0.0064","0.0064","0.0050","-","-11.25%"
"Feb 22, 2021","0.0064","0.0070","0.0070","0.0056","-","-8.13%"
"Feb 21, 2021","0.0070","0.0069","0.0071","0.0068","-","0.82%"
"Feb 20, 2021","0.0069","0.0071","0.0074","0.0066","-","-1.95%"
"Feb 19, 2021","0.0071","0.0070","0.0071","0.0068","-","1.27%"
"Feb 18, 2021","0.0070","0.0067","0.0070","0.0067","-","4.59%"
"Feb 17, 2021","0.0067","0.0064","0.0067","0.0063","-","3.69%"
"Feb 16, 2021","0.0064","0.0064","0.0066","0.0062","-","0.00%"
"Feb 15, 2021","0.0064","0.0065","0.0066","0.0060","-","-1.12%"
"Feb 14, 2021","0.0065","0.0066","0.0067","0.0065","-","0.00%"
"Feb 13, 2021","0.0065","0.0066","0.0067","0.0064","-","-1.27%"
"Feb 12, 2021","0.0066","0.0065","0.0067","0.0063","-","2.89%"
"Feb 11, 2021","0.0064","0.0063","0.0066","0.0062","-","2.48%"
"Feb 10, 2021","0.0063","0.0064","0.0066","0.0061","-","-1.63%"
"Feb 09, 2021","0.0064","0.0063","0.0066","0.0062","-","1.33%"
"Feb 08, 2021","0.0063","0.0058","0.0064","0.0057","-","8.30%"
"Feb 07, 2021","0.0058","0.0061","0.0061","0.0054","-","-3.80%"
"Feb 06, 2021","0.0061","0.0062","0.0063","0.0060","-","-2.66%"
"Feb 05, 2021","0.0062","0.0058","0.0064","0.0057","-","7.96%"
"Feb 04, 2021","0.0058","0.0060","0.0061","0.0057","-","-3.95%"
"Feb 03, 2021","0.0060","0.0055","0.0060","0.0054","-","9.91%"
"Feb 02, 2021","0.0055","0.0050","0.0056","0.0049","-","10.22%"
