"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","0.65997","0.70533","0.70542","0.64673","679.69M","-6.44%"
"Jun 30, 2021","0.70537","0.70599","0.71400","0.64915","894.67M","0.02%"
"Jun 29, 2021","0.70523","0.64393","0.72851","0.64228","1.01B","9.52%"
"Jun 28, 2021","0.64393","0.64747","0.65550","0.62436","636.01M","-0.55%"
"Jun 27, 2021","0.64747","0.61669","0.65127","0.59735","647.73M","5.00%"
"Jun 26, 2021","0.61663","0.61169","0.63173","0.58214","752.44M","0.79%"
"Jun 25, 2021","0.61180","0.67239","0.68810","0.60365","1.13B","-8.99%"
"Jun 24, 2021","0.67224","0.63827","0.69153","0.61716","928.59M","5.39%"
"Jun 23, 2021","0.63785","0.54681","0.66335","0.52269","1.70B","17.05%"
"Jun 22, 2021","0.54493","0.60653","0.64888","0.51017","2.31B","-10.27%"
"Jun 21, 2021","0.60732","0.77421","0.77885","0.60524","1.59B","-21.56%"
"Jun 20, 2021","0.77421","0.75965","0.78412","0.69806","866.85M","1.90%"
"Jun 19, 2021","0.75977","0.79691","0.80499","0.75589","459.27M","-4.53%"
"Jun 18, 2021","0.79581","0.84118","0.84449","0.77191","617.48M","-5.39%"
"Jun 17, 2021","0.84118","0.83180","0.86084","0.82488","475.79M","1.11%"
"Jun 16, 2021","0.83195","0.86663","0.87309","0.82643","603.79M","-4.00%"
"Jun 15, 2021","0.86663","0.89031","0.90115","0.85949","537.37M","-2.66%"
"Jun 14, 2021","0.89031","0.88326","0.92692","0.86323","659.19M","0.80%"
"Jun 13, 2021","0.88326","0.83164","0.88784","0.81850","503.67M","6.26%"
"Jun 12, 2021","0.83121","0.84748","0.84757","0.80638","558.73M","-1.92%"
"Jun 11, 2021","0.84748","0.86852","0.87919","0.83437","568.45M","-2.41%"
"Jun 10, 2021","0.86841","0.91975","0.92699","0.85342","838.31M","-5.58%"
"Jun 09, 2021","0.91970","0.87383","0.91970","0.83149","1.13B","5.24%"
"Jun 08, 2021","0.87393","0.86345","0.88383","0.78577","1.37B","1.21%"
"Jun 07, 2021","0.86345","0.94516","0.97376","0.84842","993.30M","-8.62%"
"Jun 06, 2021","0.94493","0.92274","0.94784","0.91773","559.24M","2.41%"
"Jun 05, 2021","0.92274","0.96885","0.99720","0.89686","898.30M","-4.80%"
"Jun 04, 2021","0.96927","1.04426","1.04594","0.91895","1.27B","-7.18%"
"Jun 03, 2021","1.04426","1.02441","1.07730","1.00778","974.27M","1.94%"
"Jun 02, 2021","1.02441","1.01061","1.04772","0.98136","950.13M","1.36%"
"Jun 01, 2021","1.01063","1.04122","1.09730","0.97712","1.61B","-3.10%"
"May 31, 2021","1.04293","0.90591","1.04892","0.88318","1.78B","15.10%"
"May 30, 2021","0.90612","0.83044","0.92998","0.79877","1.21B","9.12%"
"May 29, 2021","0.83041","0.89913","0.93847","0.79482","1.47B","-7.65%"
"May 28, 2021","0.89918","0.97062","0.98301","0.84733","1.74B","-7.35%"
"May 27, 2021","0.97050","1.03167","1.04030","0.93389","1.41B","-5.93%"
"May 26, 2021","1.03167","0.97436","1.06643","0.94890","1.68B","5.88%"
"May 25, 2021","0.97434","0.99151","1.05270","0.88075","2.42B","-1.72%"
"May 24, 2021","0.99142","0.79146","0.99562","0.75667","2.34B","25.25%"
"May 23, 2021","0.79153","0.90502","0.96587","0.65070","3.15B","-12.54%"
"May 22, 2021","0.90502","1.00572","1.01342","0.82006","2.28B","-10.04%"
"May 21, 2021","1.00600","1.17959","1.21581","0.86730","2.73B","-14.71%"
"May 20, 2021","1.17955","1.06159","1.26452","0.91194","3.04B","11.10%"
"May 19, 2021","1.06170","1.59055","1.64286","0.87542","5.03B","-33.25%"
"May 18, 2021","1.59055","1.49590","1.69982","1.47421","2.67B","6.33%"
"May 17, 2021","1.49590","1.44832","1.56263","1.32635","2.40B","3.19%"
"May 16, 2021","1.44967","1.48591","1.60866","1.34889","2.21B","-2.44%"
"May 15, 2021","1.48591","1.40230","1.57989","1.32462","2.30B","5.88%"
"May 14, 2021","1.40342","1.36156","1.44330","1.32248","1.19B","3.09%"
"May 13, 2021","1.36140","1.26899","1.38878","1.20537","2.14B","7.34%"
"May 12, 2021","1.26829","1.47810","1.54351","1.24312","1.65B","-14.19%"
"May 11, 2021","1.47796","1.39107","1.48676","1.35870","1.18B","6.25%"
"May 10, 2021","1.39101","1.53451","1.62613","1.23689","1.90B","-9.35%"
"May 09, 2021","1.53447","1.56235","1.59317","1.44818","1.16B","-1.79%"
"May 08, 2021","1.56237","1.58091","1.62614","1.54152","796.72M","-1.18%"
"May 07, 2021","1.58103","1.60296","1.68963","1.51153","1.44B","-1.37%"
"May 06, 2021","1.60294","1.61386","1.76001","1.54527","2.37B","-0.68%"
"May 05, 2021","1.61396","1.39752","1.62073","1.39752","2.01B","15.56%"
"May 04, 2021","1.39664","1.55463","1.55703","1.35493","2.18B","-10.17%"
"May 03, 2021","1.55474","1.56112","1.61913","1.52413","1.05B","-0.41%"
"May 02, 2021","1.56112","1.65073","1.65348","1.53209","947.88M","-5.43%"
"May 01, 2021","1.65073","1.59851","1.66456","1.52915","1.11B","3.36%"
"Apr 30, 2021","1.59707","1.39814","1.63523","1.37604","2.26B","14.23%"
"Apr 29, 2021","1.39814","1.35790","1.41707","1.32815","1.37B","2.96%"
"Apr 28, 2021","1.35801","1.40180","1.44663","1.28765","1.77B","-3.12%"
"Apr 27, 2021","1.40174","1.36672","1.45828","1.33240","2.40B","2.54%"
"Apr 26, 2021","1.36699","1.03384","1.36882","1.01794","2.94B","32.23%"
"Apr 25, 2021","1.03384","1.05015","1.15362","0.95088","1.74B","-1.55%"
