"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","120.36","130.81","130.88","118.75","665.98K","-7.99%"
"Jun 30, 2021","130.81","126.19","132.91","122.09","1.08M","3.95%"
"Jun 29, 2021","125.84","117.86","129.42","116.12","965.74K","6.80%"
"Jun 28, 2021","117.83","107.59","117.83","104.60","815.77K","9.54%"
"Jun 27, 2021","107.56","103.53","107.56","98.55","781.75K","3.89%"
"Jun 26, 2021","103.53","100.24","103.53","96.67","958.13K","3.17%"
"Jun 25, 2021","100.36","112.74","116.28","99.88","1.22M","-11.00%"
"Jun 24, 2021","112.76","111.63","116.65","106.94","745.84K","1.01%"
"Jun 23, 2021","111.63","106.16","117.48","102.81","1.20M","5.25%"
"Jun 22, 2021","106.06","101.47","110.43","86.45","2.17M","4.46%"
"Jun 21, 2021","101.53","131.78","132.87","100.98","1.67M","-22.95%"
"Jun 20, 2021","131.78","128.14","132.25","119.57","680.61K","2.84%"
"Jun 19, 2021","128.14","132.59","134.71","127.27","507.32K","-3.18%"
"Jun 18, 2021","132.35","142.23","143.00","129.19","780.01K","-6.94%"
"Jun 17, 2021","142.22","136.85","146.55","136.70","707.57K","3.93%"
"Jun 16, 2021","136.85","136.62","143.73","132.36","970.17K","0.15%"
"Jun 15, 2021","136.64","138.89","141.10","133.59","600.23K","-1.62%"
"Jun 14, 2021","138.89","132.95","139.24","128.70","797.71K","4.51%"
"Jun 13, 2021","132.90","125.77","133.16","121.02","698.74K","5.77%"
"Jun 12, 2021","125.65","124.70","129.11","118.92","700.35K","0.76%"
"Jun 11, 2021","124.70","133.59","135.75","122.67","706.37K","-6.55%"
"Jun 10, 2021","133.44","145.05","150.75","132.03","1.00M","-7.94%"
"Jun 09, 2021","144.95","131.03","145.00","124.21","1.26M","10.63%"
"Jun 08, 2021","131.03","135.91","138.98","120.21","1.34M","-3.60%"
"Jun 07, 2021","135.93","149.43","154.83","134.64","725.38K","-9.03%"
"Jun 06, 2021","149.43","153.70","156.49","147.09","571.68K","-2.81%"
"Jun 05, 2021","153.75","155.43","161.23","148.08","856.80K","-1.08%"
"Jun 04, 2021","155.43","172.81","172.88","147.26","1.20M","-10.02%"
"Jun 03, 2021","172.75","164.38","174.77","160.41","804.22K","5.09%"
"Jun 02, 2021","164.38","154.09","170.03","149.06","898.40K","6.67%"
"Jun 01, 2021","154.09","162.07","164.31","148.24","892.50K","-4.97%"
"May 31, 2021","162.16","149.95","162.42","141.41","1.13M","8.07%"
"May 30, 2021","150.04","149.02","159.62","138.03","1.03M","0.72%"
"May 29, 2021","148.97","164.80","186.63","141.85","2.21M","-9.61%"
"May 28, 2021","164.81","149.05","167.09","131.30","1.94M","10.57%"
"May 27, 2021","149.05","158.57","159.31","140.86","792.74K","-5.99%"
"May 26, 2021","158.55","145.33","159.19","143.12","1.07M","9.09%"
"May 25, 2021","145.33","149.11","154.50","130.39","1.45M","-2.48%"
"May 24, 2021","149.04","114.28","149.04","114.28","1.99M","30.36%"
"May 23, 2021","114.33","142.48","148.79","87.47","2.81M","-19.76%"
"May 22, 2021","142.48","156.78","160.46","133.38","1.48M","-9.12%"
"May 21, 2021","156.78","181.99","191.25","136.56","2.21M","-13.85%"
"May 20, 2021","181.99","146.97","193.99","134.32","2.16M","23.83%"
"May 19, 2021","146.97","255.01","262.47","101.55","4.13M","-42.37%"
"May 18, 2021","255.02","235.52","261.48","233.10","1.03M","8.29%"
"May 17, 2021","235.49","262.16","262.16","226.39","1.26M","-10.31%"
"May 16, 2021","262.55","270.45","290.50","246.37","1.04M","-2.92%"
"May 15, 2021","270.45","305.61","315.81","268.70","1.06M","-11.34%"
"May 14, 2021","305.06","295.90","322.79","286.51","1.14M","3.08%"
"May 13, 2021","295.93","280.57","323.51","254.04","2.49M","6.64%"
"May 12, 2021","277.49","301.99","370.61","274.27","3.65M","-8.11%"
"May 11, 2021","301.98","283.95","302.55","272.25","780.32K","6.36%"
"May 10, 2021","283.93","304.72","326.86","266.03","1.23M","-6.82%"
"May 09, 2021","304.70","315.10","317.73","288.10","731.24K","-3.39%"
"May 08, 2021","315.40","319.62","342.92","295.64","1.15M","-1.32%"
"May 07, 2021","319.63","308.85","342.29","296.35","1.53M","3.47%"
"May 06, 2021","308.91","292.03","324.49","271.85","1.65M","5.83%"
"May 05, 2021","291.90","245.54","299.75","245.18","1.61M","17.94%"
"May 04, 2021","247.50","250.45","259.66","230.49","1.38M","-1.15%"
"May 03, 2021","250.37","243.22","254.50","242.83","501.22K","2.96%"
"May 02, 2021","243.18","257.44","258.97","241.56","452.60K","-5.54%"
"May 01, 2021","257.44","245.38","258.55","243.37","516.18K","4.92%"
"Apr 30, 2021","245.37","229.39","247.91","225.41","666.38K","6.94%"
"Apr 29, 2021","229.45","240.68","240.96","223.66","579.17K","-4.69%"
"Apr 28, 2021","240.74","241.72","243.31","226.38","609.30K","-0.41%"
"Apr 27, 2021","241.73","226.90","241.73","222.67","607.14K","6.45%"
"Apr 26, 2021","227.08","202.41","227.73","200.40","725.54K","12.18%"
"Apr 25, 2021","202.42","198.58","215.07","191.75","626.61K","1.93%"
"Apr 24, 2021","198.59","220.64","220.64","197.16","761.08K","-10.00%"
"Apr 23, 2021","220.64","224.18","226.57","168.05","1.99M","-1.65%"
"Apr 22, 2021","224.33","237.21","248.16","219.73","856.92K","-5.43%"
"Apr 21, 2021","237.20","249.83","255.56","231.71","873.48K","-4.95%"
"Apr 20, 2021","249.55","225.53","249.63","209.83","1.70M","10.67%"
"Apr 19, 2021","225.49","259.97","264.82","221.78","1.48M","-13.10%"
"Apr 18, 2021","259.48","280.05","285.84","186.66","3.03M","-7.32%"
