"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2021","32,031.00","33,843.07","33,843.07","32,031.00","0.51K","-5.37%"
"Jun 30, 2021","33,849.09","33,617.21","33,953.78","31,463.60","0.62K","1.20%"
"Jun 29, 2021","33,446.19","31,459.99","34,394.97","31,459.99","0.80K","6.79%"
"Jun 28, 2021","31,321.00","30,294.32","31,772.01","29,912.57","0.65K","3.83%"
"Jun 27, 2021","30,166.82","28,711.86","30,166.82","28,181.86","0.37K","5.05%"
"Jun 26, 2021","28,715.33","28,101.08","28,715.33","26,948.97","0.55K","1.48%"
"Jun 25, 2021","28,297.53","31,416.50","31,600.00","28,267.84","0.52K","-9.74%"
"Jun 24, 2021","31,349.41","30,988.13","31,799.55","29,696.20","0.32K","1.20%"
"Jun 23, 2021","30,978.28","28,691.77","31,838.05","28,691.77","0.86K","8.52%"
"Jun 22, 2021","28,545.06","29,449.73","31,044.11","26,278.55","1.44K","-3.14%"
"Jun 21, 2021","29,471.42","36,119.82","36,119.82","29,471.42","1.03K","-18.23%"
"Jun 20, 2021","36,041.30","33,216.24","36,562.07","33,175.25","0.84K","8.39%"
"Jun 19, 2021","33,250.96","34,069.97","34,587.17","33,250.96","0.19K","-2.30%"
"Jun 18, 2021","34,034.37","36,319.92","36,319.92","33,341.01","0.47K","-6.18%"
"Jun 17, 2021","36,276.73","36,423.27","37,405.53","35,826.61","0.19K","-0.28%"
"Jun 16, 2021","36,377.40","38,802.82","38,838.17","36,377.40","0.30K","-6.49%"
"Jun 15, 2021","38,901.31","39,425.69","39,862.65","38,740.01","0.25K","-1.33%"
"Jun 14, 2021","39,425.21","38,607.83","39,946.19","38,362.11","0.49K","2.17%"
"Jun 13, 2021","38,587.72","36,346.11","38,587.72","35,655.20","0.46K","6.32%"
"Jun 12, 2021","36,292.53","36,849.62","36,973.72","35,137.37","0.43K","-1.71%"
"Jun 11, 2021","36,924.93","37,793.33","37,893.10","36,428.45","0.50K","-2.30%"
"Jun 10, 2021","37,793.20","40,469.51","40,469.51","37,741.08","0.43K","-6.61%"
"Jun 09, 2021","40,467.43","39,672.01","40,517.71","38,088.31","0.67K","1.88%"
